account_lsr,bars_to_future_max,base_detected,base_vacuum,bias,close,confidence,future_max_return,global_lsr,idx,oi,oi_change_pct,oi_state,pattern,position_lsr,quote_validation,readiness,result_tag,suitable,symbol,time,trades
2.0479,24,,,,0.000521,,0.19577735,1.9525,0,8766692747.0,0.0,,,1.5981,,,EVENT_START,False,NOTUSDT,2026-05-06 00:50:00 UTC,1977
-0.0386,24,,,,0.000528,,0.21212121,-0.0165,1,8774134477.0,2.0093,,,-0.0038,,,,False,NOTUSDT,2026-05-06 00:55:00 UTC,4372
-0.0446,24,,,,0.000544,,0.18014706,-0.0624,2,8844979618.0,1.9647,,,0.0106,,,,False,NOTUSDT,2026-05-06 01:00:00 UTC,9264
-0.014,23,,,,0.000549,,0.16939891,-0.0042,3,9065836590.0,1.9507,,,0.0247,,,,False,NOTUSDT,2026-05-06 01:05:00 UTC,6751
-0.0008,22,,,,0.000554,,0.15884477,-0.018,4,9114205735.0,1.9499,,,-0.0045,,,,False,NOTUSDT,2026-05-06 01:10:00 UTC,7019
-0.0165,21,,,,0.000562,,0.14234875,0.0123,5,9167316007.0,1.9334,,,-0.0021,,,,False,NOTUSDT,2026-05-06 01:15:00 UTC,7227
0.0147,20,,,,0.000556,,0.15467626,0.0148,6,9169050530.0,1.9481,,,-0.0016,,,,False,NOTUSDT,2026-05-06 01:20:00 UTC,7362
1.9958,19,,,,0.000552,,0.16304348,1.9002,7,9151586819.0,-0.19,,,1.6349,,,,False,NOTUSDT,2026-05-06 01:25:00 UTC,8036
-0.024,18,,,,0.000562,,0.14234875,-0.02,8,9167776041.0,1.9718,,,-0.0083,,,,False,NOTUSDT,2026-05-06 01:30:00 UTC,6735
-0.0158,17,,,,0.000563,,0.14031972,-0.0066,9,9170336584.0,1.956,,,0.0197,,,,False,NOTUSDT,2026-05-06 01:35:00 UTC,5530
0.0193,16,,,,0.000565,,0.13628319,0.041,10,9223027491.0,1.9753,,,0.0086,,,,False,NOTUSDT,2026-05-06 01:40:00 UTC,4942
