account_lsr,bars_to_future_max,base_detected,base_vacuum,bias,close,confidence,future_max_return,global_lsr,idx,oi,oi_change_pct,oi_state,pattern,position_lsr,quote_validation,readiness,result_tag,suitable,symbol,time,trades
1.1422,21,,,,0.47737,,0.29220521,1.1053,0,22222338.0,0.0,,,1.8578,,,EVENT_START,False,BSBUSDT,2026-05-17 09:15:00 UTC,37411
1.1268,20,,,,0.4938,,0.24921021,1.1048,1,22346895.0,0.56,,,1.8281,,,,False,BSBUSDT,2026-05-17 09:30:00 UTC,95282
1.0631,19,,,,0.50902,,0.21185808,1.0872,2,23184859.0,3.75,,,1.7144,,,,False,BSBUSDT,2026-05-17 09:45:00 UTC,103528
1.0072,18,,,,0.50871,,0.21259657,1.0648,3,24033201.0,3.66,,,1.6194,,,,False,BSBUSDT,2026-05-17 10:00:00 UTC,119816
0.9881,17,,,,0.54489,,0.1320817,1.0492,4,24587564.0,2.31,,,1.5762,,,,False,BSBUSDT,2026-05-17 10:15:00 UTC,182531
0.8751,16,,,,0.56424,,0.09325819,0.9436,5,24700965.0,0.46,,,1.4515,,,,False,BSBUSDT,2026-05-17 10:30:00 UTC,233191
0.8342,15,,,,0.5563,,0.10886212,0.9242,6,25201515.0,2.03,,,1.4499,,,,False,BSBUSDT,2026-05-17 10:45:00 UTC,212439
0.8142,14,,,,0.55091,,0.11971102,0.8882,7,25010240.0,-0.76,,,1.4443,,,,False,BSBUSDT,2026-05-17 11:00:00 UTC,139956
0.8149,13,,,,0.55905,,0.10340757,0.8997,8,25120682.0,0.44,,,1.4311,,,,False,BSBUSDT,2026-05-17 11:15:00 UTC,108108
0.8041,12,,,,0.56445,,0.09285145,0.8861,9,25379732.0,1.03,,,1.4127,,,,False,BSBUSDT,2026-05-17 11:30:00 UTC,102963
0.7889,11,,,,0.57104,,0.08023956,0.8755,10,25521056.0,0.56,,,1.4014,,,,False,BSBUSDT,2026-05-17 11:45:00 UTC,103030
0.7712,10,,,,0.57985,,0.06382685,0.8713,11,26038854.0,2.03,,,1.3728,,,,False,BSBUSDT,2026-05-17 12:00:00 UTC,137837
0.7522,9,,,,0.56339,,0.09490761,0.8608,12,26794007.0,2.9,,,1.3559,,,,False,BSBUSDT,2026-05-17 12:15:00 UTC,144513
0.7271,8,,,,0.59545,,0.035956,0.7915,13,26780722.0,-0.05,,,1.3653,,,,False,BSBUSDT,2026-05-17 12:30:00 UTC,171141
0.6909,7,,,,0.58195,,0.05998797,0.7857,14,27131630.0,1.31,,,1.3025,,,,False,BSBUSDT,2026-05-17 12:45:00 UTC,132087
0.6801,6,,,,0.58399,,0.05628521,0.769,15,27493483.0,1.33,,,1.3025,,,,False,BSBUSDT,2026-05-17 13:00:00 UTC,105897
0.6824,5,,,,0.57264,,0.07722129,0.7709,16,27669622.0,0.64,,,1.2956,,,,False,BSBUSDT,2026-05-17 13:15:00 UTC,145460
0.6804,4,,,,0.57917,,0.06507588,0.7498,17,27459828.0,-0.76,,,1.3096,,,,False,BSBUSDT,2026-05-17 13:30:00 UTC,98559
0.6717,3,,,,0.55889,,0.10372345,0.7443,18,27575284.0,0.42,,,1.3146,,,,False,BSBUSDT,2026-05-17 13:45:00 UTC,129976
0.6692,2,,,,0.57692,,0.0692297,0.7056,19,27255005.0,-1.16,,,1.338,,,,False,BSBUSDT,2026-05-17 14:00:00 UTC,104361
0.6567,1,,,,0.61202,,0.00790824,0.7088,20,26874450.0,-1.4,,,1.3229,,,,False,BSBUSDT,2026-05-17 14:15:00 UTC,215165
0.6223,0,,,,0.61686,,0.0,0.6995,21,26798398.0,-0.28,,,1.2891,,,EVENT_PEAK,False,BSBUSDT,2026-05-17 14:30:00 UTC,107953
0.6223,23,,,,0.58685,,0.00898015,0.7042,22,26594796.0,-0.76,,,1.2851,,,,False,BSBUSDT,2026-05-17 14:45:00 UTC,147072
0.6311,22,,,,0.58166,,0.01798301,0.6915,23,25926267.0,-2.51,,,1.2903,,,,False,BSBUSDT,2026-05-17 15:00:00 UTC,76372
0.6321,21,,,,0.59125,,0.00147146,0.6787,24,25689969.0,-0.91,,,1.3087,,,,False,BSBUSDT,2026-05-17 15:15:00 UTC,91543
0.6474,20,,,,0.58132,,0.01857841,0.7062,25,25343099.0,-1.35,,,1.3106,,,,False,BSBUSDT,2026-05-17 15:30:00 UTC,122037
0.6332,19,,,,0.59008,,0.00345716,0.6827,26,25019755.0,-1.28,,,1.325,,,,False,BSBUSDT,2026-05-17 15:45:00 UTC,67079
0.6329,18,,,,0.59108,,0.00175949,0.6807,27,25227715.0,0.83,,,1.3098,,,,False,BSBUSDT,2026-05-17 16:00:00 UTC,71153
0.6242,17,,,,0.58783,,0.00729803,0.677,28,25306804.0,0.31,,,1.301,,,,False,BSBUSDT,2026-05-17 16:15:00 UTC,53066
0.6244,16,True,Primed Base for Price-led Vacuum Ignition,Early Bullish Structure,0.58838,Medium,0.00635644,0.6656,29,25206056.0,-0.4,OI صاعد تدريجي,Short Build Under Stable Price,1.2944,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,BSBUSDT,2026-05-17 16:30:00 UTC,41375
0.6308,15,True,Failed Base Vacuum Ignition,Distribution Risk,0.57529,Low,0.02925481,0.6686,30,25239679.0,0.13,OI ثابت,Failed Base Ignition,1.2992,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,BSBUSDT,2026-05-17 16:45:00 UTC,99647
0.6231,14,True,Primed Base for Price-led Vacuum Ignition,Bearish Structural Risk,0.57633,Medium,0.0273975,0.654,31,25038786.0,-0.8,OI هابط تدريجي,Liquidity Exit / Decay,1.3142,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Watchlist Only,,False,BSBUSDT,2026-05-17 17:00:00 UTC,59963
0.6276,13,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,0.58239,Medium,0.01670702,0.6548,32,25243763.0,0.82,OI ثابت,Mixed Structure,1.314,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,BSBUSDT,2026-05-17 17:15:00 UTC,52137
0.6359,12,True,Failed Base Vacuum Ignition,Distribution Risk,0.57278,Medium,0.03376515,0.6644,33,24975298.0,-1.06,OI هابط تدريجي,Failed Base Ignition,1.336,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,BSBUSDT,2026-05-17 17:30:00 UTC,53586
0.6324,11,True,Weak Base Drift / لا ترفعها أعلى من Watchlist,Neutral / Unclear,0.58993,Medium,0.0037123,0.6589,34,24959495.0,-0.06,Price-led Base Move Without OI Expansion,Mixed Structure,1.331,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,BSBUSDT,2026-05-17 17:45:00 UTC,52193
0.63,24,True,Primed Base for Price-led Vacuum Ignition,Bearish Structural Risk,0.58443,Low,0.0552333,0.6639,35,25095289.0,0.54,OI هابط تدريجي,Liquidity Exit / Decay,1.3165,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Watchlist Only,,False,BSBUSDT,2026-05-17 18:00:00 UTC,67391
0.6324,23,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,0.58672,Medium,0.05111467,0.6686,36,25218915.0,0.49,Delayed Constructive OI Reload From Base,Mixed Structure,1.2984,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Early-Live Structure,,False,BSBUSDT,2026-05-17 18:15:00 UTC,34884
0.6273,22,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,0.58486,Low,0.05445748,0.6708,37,25263271.0,0.18,OI صاعد تدريجي,Mixed Structure,1.291,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,BSBUSDT,2026-05-17 18:30:00 UTC,31146
0.6332,21,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,0.5854,Medium,0.0534848,0.6731,38,25195633.0,-0.27,Delayed Constructive OI Reload From Base,Mixed Structure,1.2935,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Early-Live Structure,,False,BSBUSDT,2026-05-17 18:45:00 UTC,30162
