account_lsr,bars_to_future_max,base_detected,base_vacuum,bias,close,confidence,future_max_return,global_lsr,idx,oi,oi_change_pct,oi_state,pattern,position_lsr,quote_validation,readiness,result_tag,suitable,symbol,time,trades
1.2336,24,,,,0.27116,,0.03558784,1.368,0,16973735.0,0.0,,,0.958,,,,False,MAGMAUSDT,2026-06-02 13:30:00 UTC,663
1.2391,23,,,,0.27045,,0.03830653,1.3719,1,16985340.0,0.07,,,0.9586,,,,False,MAGMAUSDT,2026-06-02 13:45:00 UTC,787
1.2346,22,,,,0.27035,,0.03869059,1.368,2,16976457.0,-0.05,,,0.9544,,,,False,MAGMAUSDT,2026-06-02 14:00:00 UTC,772
1.2371,21,,,,0.27126,,0.03520608,1.3546,3,16971596.0,-0.03,,,0.9538,,,,False,MAGMAUSDT,2026-06-02 14:15:00 UTC,901
1.2406,20,,,,0.27076,,0.03711774,1.3502,4,16975082.0,0.02,,,0.9525,,,,False,MAGMAUSDT,2026-06-02 14:30:00 UTC,905
1.2462,19,,,,0.27112,,0.03574063,1.3585,5,16957858.0,-0.1,,,0.9597,,,,False,MAGMAUSDT,2026-06-02 14:45:00 UTC,702
1.2411,18,,,,0.27145,,0.03448149,1.3535,6,16951581.0,-0.04,,,0.9584,,,,False,MAGMAUSDT,2026-06-02 15:00:00 UTC,871
1.2401,17,,,,0.26778,,0.04865935,1.3283,7,16956356.0,0.03,,,0.9598,,,,False,MAGMAUSDT,2026-06-02 15:15:00 UTC,929
1.2381,16,,,,0.2693,,0.04274044,1.3641,8,16911922.0,-0.26,,,0.9564,,,,False,MAGMAUSDT,2026-06-02 15:30:00 UTC,892
1.2381,15,,,,0.27211,,0.03197236,1.3518,9,16908555.0,-0.02,,,0.9568,,,,False,MAGMAUSDT,2026-06-02 15:45:00 UTC,924
1.2351,14,,,,0.27275,,0.02955087,1.3529,10,16907905.0,-0.003844207858093137,,,0.9548,,,,False,MAGMAUSDT,2026-06-02 16:00:00 UTC,908
1.2297,13,,,,0.27197,,0.03250358,1.3474,11,16895564.0,-0.07,,,0.9571,,,,False,MAGMAUSDT,2026-06-02 16:15:00 UTC,532
1.2292,12,,,,0.27056,,0.03788439,1.348,12,16881647.0,-0.08,,,0.9572,,,,False,MAGMAUSDT,2026-06-02 16:30:00 UTC,626
1.2267,11,,,,0.27016,,0.03942108,1.3364,13,16876817.0,-0.03,,,0.9575,,,,False,MAGMAUSDT,2026-06-02 16:45:00 UTC,802
1.2242,10,,,,0.27167,,0.03364376,1.3294,14,16873998.0,-0.02,,,0.9557,,,,False,MAGMAUSDT,2026-06-02 17:00:00 UTC,591
1.2267,9,,,,0.27225,,0.03144169,1.3234,15,16872514.0,-0.01,,,0.9553,,,,False,MAGMAUSDT,2026-06-02 17:15:00 UTC,374
1.2252,8,,,,0.27115,,0.03562604,1.3137,16,16893558.0,0.12,,,0.9582,,,,False,MAGMAUSDT,2026-06-02 17:30:00 UTC,413
1.2198,7,,,,0.27475,,0.02205641,1.3196,17,16888453.0,-0.03,,,0.9576,,,,False,MAGMAUSDT,2026-06-02 17:45:00 UTC,1762
1.2148,6,,,,0.2767,,0.01485363,1.3196,18,16908287.0,0.12,,,0.9575,,,,False,MAGMAUSDT,2026-06-02 18:00:00 UTC,1807
1.2247,5,,,,0.27849,,0.00833064,1.3359,19,16889398.0,-0.11,,,0.953,,,,False,MAGMAUSDT,2026-06-02 18:15:00 UTC,2362
1.1973,4,,,,0.27692,,0.01404738,1.3015,20,16888869.0,-0.0031321424244961245,,,0.9504,,,,False,MAGMAUSDT,2026-06-02 18:30:00 UTC,1620
1.1997,24,,,,0.27831,,0.00944989,1.3148,21,16877979.0,-0.06,,,0.9505,,,,False,MAGMAUSDT,2026-06-02 18:45:00 UTC,705
1.206,24,,,,0.27848,,0.00886958,1.3191,22,16890372.0,0.07,,,0.951,,,,False,MAGMAUSDT,2026-06-02 19:00:00 UTC,546
1.2046,23,,,,0.2802,,0.00267666,1.3256,23,16882674.0,-0.05,,,0.9514,,,,False,MAGMAUSDT,2026-06-02 19:15:00 UTC,848
1.2022,22,,,,0.28081,,0.00049856,1.3175,24,16887839.0,0.03,,,0.9514,,,,False,MAGMAUSDT,2026-06-02 19:30:00 UTC,372
1.2002,24,,,,0.27978,,0.01011509,1.3272,25,16899332.0,0.07,,,0.9504,,,,False,MAGMAUSDT,2026-06-02 19:45:00 UTC,771
1.208,24,,,,0.28062,,0.00905139,1.3419,26,16900491.0,0.01,,,0.9522,,,,False,MAGMAUSDT,2026-06-02 20:00:00 UTC,421
1.2002,23,,,,0.28038,,0.00991512,1.3321,27,16906204.0,0.03,,,0.9538,,,,False,MAGMAUSDT,2026-06-02 20:15:00 UTC,402
1.1973,22,,,,0.2784,,0.0170977,1.3348,28,16907796.0,0.01,,,0.9542,,,,False,MAGMAUSDT,2026-06-02 20:30:00 UTC,605
1.192,24,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,0.27965,Medium,0.01448239,1.3332,29,16906260.0,-0.01,OI ثابت,Mixed Structure,0.954,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,MAGMAUSDT,2026-06-02 20:45:00 UTC,366
1.1935,23,True,Failed Base Vacuum Ignition,Distribution Risk,0.27752,Medium,0.02226867,1.3321,30,16902536.0,-0.02,OI ثابت,Failed Base Ignition,0.955,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,MAGMAUSDT,2026-06-02 21:00:00 UTC,345
1.2095,22,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,0.27871,Medium,0.01790391,1.3474,31,16895259.0,-0.04,Price-led Base Move Without OI Expansion,Mixed Structure,0.9561,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,MAGMAUSDT,2026-06-02 21:15:00 UTC,728
1.2119,21,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,0.27822,Medium,0.01969664,1.3524,32,16893208.0,-0.01,OI ثابت,Mixed Structure,0.9623,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,MAGMAUSDT,2026-06-02 21:30:00 UTC,400
1.2109,20,True,Failed Base Vacuum Ignition,Distribution Risk,0.2764,Medium,0.026411,1.3397,33,16881555.0,-0.07,OI ثابت,Failed Base Ignition,0.9631,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,MAGMAUSDT,2026-06-02 21:45:00 UTC,227
1.2104,19,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,0.27675,Medium,0.02511292,1.343,34,16883954.0,0.01,OI ثابت,Mixed Structure,0.9631,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,MAGMAUSDT,2026-06-02 22:00:00 UTC,307
