account_lsr,bars_to_future_max,base_detected,base_vacuum,bias,close,confidence,future_max_return,global_lsr,idx,oi,oi_change_pct,oi_state,pattern,position_lsr,quote_validation,readiness,result_tag,suitable,symbol,time,trades
0.0,0,,,,0.0,,0.0,1.8719,0,0.0,0.0,,,0.0,,,,False,EDENUSDT,2026-05-17 09:55:00 UTC,0
1.9612,6,,,,0.04213,,0.0258723,1.8225,1,68911544.0,0.0,,,1.6005,,,,False,EDENUSDT,2026-05-17 10:00:00 UTC,2185
1.9674,24,,,,0.04188,,0.06661891,1.8185,2,69179245.0,0.39,,,1.5968,,,,False,EDENUSDT,2026-05-17 10:05:00 UTC,1555
1.9691,24,,,,0.04189,,0.07018381,1.8297,3,68982269.0,-0.28,,,1.6149,,,,False,EDENUSDT,2026-05-17 10:10:00 UTC,1485
1.9949,24,,,,0.04194,,0.0977587,1.8425,4,68789675.0,-0.28,,,1.6517,,,,False,EDENUSDT,2026-05-17 10:15:00 UTC,1507
1.9833,23,,,,0.04202,,0.09566873,1.8337,5,69089831.0,0.44,,,1.6187,,,,False,EDENUSDT,2026-05-17 10:20:00 UTC,1079
1.9744,22,,,,0.04221,,0.09073679,1.8281,6,68974414.0,-0.17,,,1.6202,,,,False,EDENUSDT,2026-05-17 10:25:00 UTC,1824
1.9516,24,,,,0.04322,,0.08190652,1.7886,7,68988657.0,0.02,,,1.6255,,,,False,EDENUSDT,2026-05-17 10:30:00 UTC,5352
1.9146,23,,,,0.04287,,0.09073944,1.7855,8,70059576.0,55.0,,,1.619,,,,False,EDENUSDT,2026-05-17 10:35:00 UTC,12309
1.97,22,,,,0.04198,,0.11386374,1.8297,9,69016194.0,-1.49,,,1.4896,,,,False,EDENUSDT,2026-05-17 10:40:00 UTC,5676
2.0048,21,,,,0.04266,,0.09610877,1.8794,10,68541060.0,-0.69,,,1.4551,,,,False,EDENUSDT,2026-05-17 10:45:00 UTC,3044
1.9291,20,,,,0.04244,,0.10179076,1.8193,11,68803269.0,0.38,,,1.443,,,,False,EDENUSDT,2026-05-17 10:50:00 UTC,3995
1.886,19,,,,0.04247,,0.10101248,1.7855,12,69809829.0,46.0,,,1.436,,,,False,EDENUSDT,2026-05-17 10:55:00 UTC,2428
1.8719,18,,,,0.04227,,0.10622191,1.7871,13,69896829.0,0.12,,,1.421,,,,False,EDENUSDT,2026-05-17 11:00:00 UTC,3974
1.858,17,,,,0.04215,,0.10937129,1.7917,14,71034160.0,63.0,,,1.4242,,,,False,EDENUSDT,2026-05-17 11:05:00 UTC,2494
1.845,16,,,,0.0418,,0.11866029,1.7518,15,71375728.0,0.48,,,1.4202,,,EVENT_START,False,EDENUSDT,2026-05-17 11:10:00 UTC,4279
1.9078,24,,,,0.0421,,0.14014252,1.8329,16,70319970.0,-1.48,,,1.4196,,,,False,EDENUSDT,2026-05-17 11:15:00 UTC,2053
1.8752,24,,,,0.04253,,0.14624971,1.7832,17,70458531.0,0.2,,,1.4065,,,,False,EDENUSDT,2026-05-17 11:20:00 UTC,1988
1.8185,24,,,,0.04262,,0.1928672,1.7525,18,71015176.0,0.79,,,1.3936,,,,False,EDENUSDT,2026-05-17 11:25:00 UTC,1597
1.8074,24,,,,0.04242,,0.24139557,1.745,19,71292458.0,0.39,,,1.3956,,,,False,EDENUSDT,2026-05-17 11:30:00 UTC,2222
1.7871,23,,,,0.04253,,0.23818481,1.7278,20,71500938.0,0.29,,,1.386,,,,False,EDENUSDT,2026-05-17 11:35:00 UTC,1347
1.7647,24,,,,0.04269,,0.24478801,1.6969,21,71742679.0,0.34,,,1.3968,,,,False,EDENUSDT,2026-05-17 11:40:00 UTC,2947
1.7465,23,,,,0.04283,,0.24071912,1.6961,22,72459565.0,1.0,,,1.3797,,,,False,EDENUSDT,2026-05-17 11:45:00 UTC,1430
1.7375,22,,,,0.04309,,0.23323277,1.6638,23,72497372.0,0.05,,,1.3905,,,,False,EDENUSDT,2026-05-17 11:50:00 UTC,1746
1.7071,21,,,,0.04313,,0.23208903,1.6525,24,72956147.0,0.63,,,1.3743,,,,False,EDENUSDT,2026-05-17 11:55:00 UTC,4360
1.6525,24,,,,0.04322,,0.27602962,1.6048,25,73286801.0,0.45,,,1.3756,,,,False,EDENUSDT,2026-05-17 12:00:00 UTC,5440
1.6406,24,,,,0.04467,,0.25162301,1.5893,26,74107815.0,1.12,,,1.3558,,,,False,EDENUSDT,2026-05-17 12:05:00 UTC,8216
1.5988,24,,,,0.04483,,0.25719384,1.5813,27,75308931.0,62.0,,,1.3007,,,,False,EDENUSDT,2026-05-17 12:10:00 UTC,13658
1.5419,24,,,,0.04604,,0.2410947,1.5246,28,78797675.0,63.0,,,1.2885,,,,False,EDENUSDT,2026-05-17 12:15:00 UTC,16869
1.5019,24,False,Not Applicable: No Base,Distribution Risk,0.04558,Low,0.26239579,1.5157,29,82649594.0,89.0,OI صاعد انفجاري,Bull Trap Risk,1.2267,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,EDENUSDT,2026-05-17 12:20:00 UTC,21168
1.5361,23,False,Not Applicable: No Base,Distribution Risk,0.04598,Medium,0.25141366,1.5336,30,84360368.0,7.0,OI صاعد تدريجي,Bull Trap Risk,1.2304,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,EDENUSDT,2026-05-17 12:25:00 UTC,7382
1.4765,22,False,Not Applicable: No Base,Distribution Risk,0.04676,Low,0.23053892,1.4643,31,86029339.0,98.0,OI صاعد انفجاري,Bull Trap Risk,1.2132,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,EVENT_PEAK,False,EDENUSDT,2026-05-17 12:30:00 UTC,15441
1.4492,24,False,Not Applicable: No Base,Bullish but Late,0.0461,Low,0.27787419,1.4474,32,87358297.0,54.0,OI صاعد تدريجي,Late Long Crowding,1.1835,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,,False,EDENUSDT,2026-05-17 12:35:00 UTC,16928
1.4207,24,False,Not Applicable: No Base,Bullish but Late,0.04606,Medium,0.2887538,1.4184,33,88142963.0,0.9,OI صاعد تدريجي,Late Long Crowding,1.1986,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,,False,EDENUSDT,2026-05-17 12:40:00 UTC,13792
1.4588,24,False,Not Applicable: No Base,Post-Pump Crowding Risk,0.04542,Medium,0.35072655,1.4552,34,88024364.0,-0.13,OI صاعد تدريجي,Post-Pump Crowding Risk,1.1734,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,,False,EDENUSDT,2026-05-17 12:45:00 UTC,15888
1.454,23,False,Not Applicable: No Base,Post-Pump Crowding Risk,0.04577,Low,0.34039764,1.4402,35,89931232.0,17.0,OI صاعد تدريجي,Post-Pump Crowding Risk,1.1885,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,,False,EDENUSDT,2026-05-17 12:50:00 UTC,6372
1.4242,24,False,Not Applicable: No Base,Post-Pump Crowding Risk,0.04579,Medium,0.37257043,1.3923,36,90161304.0,0.26,OI صاعد تدريجي,Post-Pump Crowding Risk,1.1675,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,,False,EDENUSDT,2026-05-17 12:55:00 UTC,9937
1.426,23,False,Not Applicable: No Base,Post-Pump Crowding Risk,0.045,Low,0.39666667,1.3883,37,91446580.0,43.0,OI صاعد تدريجي,Post-Pump Crowding Risk,1.154,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,,False,EDENUSDT,2026-05-17 13:00:00 UTC,12346
1.4438,22,False,Not Applicable: No Base,Post-Pump Crowding Risk,0.04551,Medium,0.38101516,1.4015,38,92375292.0,1.02,OI صاعد تدريجي,Post-Pump Crowding Risk,1.1413,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,,False,EDENUSDT,2026-05-17 13:05:00 UTC,11012
1.3941,21,True,Late Base Crowding Risk,Early-Live Bullish Structure,0.04651,Medium,0.3513223,1.3375,39,93400618.0,11.0,Delayed Constructive OI Reload From Base,Price-led Base Ignition without Reset,1.1431,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Accepted Structure,FIRST_SIGNAL,True,EDENUSDT,2026-05-17 13:10:00 UTC,11104
1.3702,20,False,Not Applicable: No Base,Bullish but Late,0.048,Medium,0.309375,1.3105,40,94444760.0,12.0,OI صاعد تدريجي,Late Long Crowding,1.1359,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,,False,EDENUSDT,2026-05-17 13:15:00 UTC,20077
1.2978,19,False,Not Applicable: No Base,Bullish but Late,0.04875,Medium,0.28923077,1.2862,41,93625356.0,-0.87,OI صاعد تدريجي,Late Long Crowding,1.104,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,,False,EDENUSDT,2026-05-17 13:20:00 UTC,18638
1.2528,24,False,Not Applicable: No Base,Bullish but Late,0.05084,Medium,0.24783635,1.2406,42,99645456.0,43.0,OI صاعد تدريجي,Late Long Crowding,1.1241,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,,False,EDENUSDT,2026-05-17 13:25:00 UTC,33916
-0.099,24,False,Not Applicable: No Base,Distribution Risk,0.05266,Medium,0.22787695,-0.0572,43,110167931.0000001,1.1538,OI صاعد تدريجي,Bull Trap Risk,0.0017,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,EDENUSDT,2026-05-17 13:30:00 UTC,32115
-0.0838,23,False,Not Applicable: No Base,Distribution Risk,0.05225,Medium,0.23751196,-0.043,44,118317897.00000082,1.07,OI صاعد تدريجي,Bull Trap Risk,0.0016,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,EDENUSDT,2026-05-17 13:35:00 UTC,27340
-0.0395,22,False,Not Applicable: No Base,Distribution Risk,0.05314,Medium,0.21678585,-0.0739,45,123175485.00000049,1.0305,OI صاعد تدريجي,Bull Trap Risk,-0.0456,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,EDENUSDT,2026-05-17 13:40:00 UTC,23986
-0.0428,21,False,Not Applicable: No Base,Distribution Risk,0.05274,Medium,0.22601441,-0.014,46,128115939.00000049,0.9877,OI صاعد تدريجي,Bull Trap Risk,-0.0015,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,EDENUSDT,2026-05-17 13:45:00 UTC,24265
-0.0192,20,False,Not Applicable: No Base,Distribution Risk,0.05192,Medium,0.2453775,-0.0274,47,131480821.00000034,0.9685,OI صاعد تدريجي,Bull Trap Risk,-0.0125,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,EDENUSDT,2026-05-17 13:50:00 UTC,27138
0.9755,19,False,Not Applicable: No Base,Neutral / Unclear,0.05262,Medium,0.22881034,1.0092,48,130143767.0,-1.02,OI صاعد تدريجي,Mixed Structure,1.1047,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Confirmed Trigger,,False,EDENUSDT,2026-05-17 13:55:00 UTC,26249
-0.0428,18,True,Weak Base Drift / لا ترفعها أعلى من Watchlist,Neutral / Unclear,0.05515,Medium,0.1724388,-0.0545,49,134280948.00000042,0.9327,Delayed Constructive OI Reload From Base,Mixed Structure,0.0515,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Accepted Structure,,False,EDENUSDT,2026-05-17 14:00:00 UTC,60518
-0.0534,24,False,Not Applicable: No Base,Distribution Risk,0.05591,Medium,0.17814344,-0.0065,50,140260725.0000006,0.8793,OI صاعد تدريجي,Bull Trap Risk,-0.0429,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,EDENUSDT,2026-05-17 14:05:00 UTC,39687
