adverse_before_future_max,bars_to_future_max,bias,close,confidence,future_max_return,future_max_time,is_signal,ls_divergence,oi_read,pattern,price_acceptance,quote_volume_validation,readiness,time,trades_read,trigger_status
0.0,1,,0.12485,,0.00360433,2026-05-20 07:15:00 UTC,False,,,,,,,2026-05-20 07:00:00 UTC,,
-0.02633679,14,,0.1253,,-0.00151636,2026-05-20 10:45:00 UTC,False,,,,,,,2026-05-20 07:15:00 UTC,,
-0.024,13,,0.125,,0.00088,2026-05-20 10:45:00 UTC,False,,,,,,,2026-05-20 07:30:00 UTC,,
-0.02447154,24,,0.123,,0.02707317,2026-05-20 13:45:00 UTC,False,,,,,,,2026-05-20 07:45:00 UTC,,
-0.01647541,23,,0.122,,0.0354918,2026-05-20 13:45:00 UTC,False,,,,,,,2026-05-20 08:00:00 UTC,,
-0.02478869,22,,0.12304,,0.02673927,2026-05-20 13:45:00 UTC,False,,,,,,,2026-05-20 08:15:00 UTC,,
-0.02518482,24,,0.12309,,0.02900317,2026-05-20 14:30:00 UTC,False,,,,,,,2026-05-20 08:30:00 UTC,,
-0.02684509,23,,0.1233,,0.02725061,2026-05-20 14:30:00 UTC,False,,,,,,,2026-05-20 08:45:00 UTC,,
-0.03187026,22,,0.12394,,0.0219461,2026-05-20 14:30:00 UTC,False,,,,,,,2026-05-20 09:00:00 UTC,,
-0.02912857,21,,0.12359,,0.0248402,2026-05-20 14:30:00 UTC,False,,,,,,,2026-05-20 09:15:00 UTC,,
-0.03977273,20,,0.12496,,0.01360435,2026-05-20 14:30:00 UTC,False,,,,,,,2026-05-20 09:30:00 UTC,,
-0.03513992,19,,0.12436,,0.01849469,2026-05-20 14:30:00 UTC,False,,,,,,,2026-05-20 09:45:00 UTC,,
-0.03792495,18,,0.12472,,0.01555484,2026-05-20 14:30:00 UTC,False,,,,,,,2026-05-20 10:00:00 UTC,,
-0.03288466,17,,0.12407,,0.02087531,2026-05-20 14:30:00 UTC,False,,,,,,,2026-05-20 10:15:00 UTC,,
-0.03568271,16,,0.12443,,0.01792172,2026-05-20 14:30:00 UTC,False,,,,,,,2026-05-20 10:30:00 UTC,,
-0.04092399,15,,0.12511,,0.0123891,2026-05-20 14:30:00 UTC,False,,,,,,,2026-05-20 10:45:00 UTC,,
-0.02787005,14,,0.12343,,0.02616868,2026-05-20 14:30:00 UTC,False,,,,,,,2026-05-20 11:00:00 UTC,,
-0.02272357,13,,0.12278,,0.03160124,2026-05-20 14:30:00 UTC,False,,,,,,,2026-05-20 11:15:00 UTC,,
-0.01768318,12,,0.12215,,0.03692182,2026-05-20 14:30:00 UTC,False,,,,,,,2026-05-20 11:30:00 UTC,,
-0.00686972,11,,0.12082,,0.04833637,2026-05-20 14:30:00 UTC,False,,,,,,,2026-05-20 11:45:00 UTC,,
-0.0067053,10,,0.1208,,0.04850993,2026-05-20 14:30:00 UTC,False,,,,,,,2026-05-20 12:00:00 UTC,,
-0.00973838,9,,0.12117,,0.04530824,2026-05-20 14:30:00 UTC,False,,,,,,,2026-05-20 12:15:00 UTC,,
-0.00414972,8,,0.12049,,0.05120757,2026-05-20 14:30:00 UTC,False,,,,,,,2026-05-20 12:30:00 UTC,,
-0.00357084,7,,0.12042,,0.05181863,2026-05-20 14:30:00 UTC,False,,,,,,,2026-05-20 12:45:00 UTC,,
0.0,6,,0.11999,,0.05558797,2026-05-20 14:30:00 UTC,False,,,,,,,2026-05-20 13:00:00 UTC,,
0.0,5,,0.1204,,0.05199336,2026-05-20 14:30:00 UTC,False,,,,,,,2026-05-20 13:15:00 UTC,,
0.0,4,,0.12068,,0.04955254,2026-05-20 14:30:00 UTC,False,,,,,,,2026-05-20 13:30:00 UTC,,
-0.00823241,3,,0.12633,,0.00261221,2026-05-20 14:30:00 UTC,False,,,,,,,2026-05-20 13:45:00 UTC,,
0.0,2,,0.12529,,0.01093463,2026-05-20 14:30:00 UTC,False,,,,,,,2026-05-20 14:00:00 UTC,,
0.0,1,Neutral / Unclear,0.12611,Medium,0.00436127,2026-05-20 14:30:00 UTC,False,Short Pressure Against Stable Big Positions,OI Flush,Mixed Structure,No Clear Acceptance,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,2026-05-20 14:15:00 UTC,Trades صحية تدريجية,Trigger Candidate
-0.02415917,1,Neutral / Unclear,0.12666,Medium,-0.02415917,2026-05-20 14:45:00 UTC,False,Short Pressure Against Stable Big Positions,OI هابط تدريجي,Mixed Structure,Pre-OI Accepted Move After Reset,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Early-Live Structure,2026-05-20 14:30:00 UTC,Trades إشعال بعد Reset,Trigger Candidate
-0.00404531,1,Neutral / Unclear,0.1236,Low,-0.00404531,2026-05-20 15:00:00 UTC,False,Mixed L/S Structure,OI Deleveraging After Pump,Mixed Structure,No Clear Acceptance,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,2026-05-20 14:45:00 UTC,Trades صحية تدريجية,Trigger Candidate
-0.00276198,1,Neutral / Unclear,0.1231,Low,-0.00276198,2026-05-20 15:15:00 UTC,False,Mixed L/S Structure,OI صاعد تدريجي,Mixed Structure,No Clear Acceptance,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Confirmed Trigger,2026-05-20 15:00:00 UTC,Trades صحية تدريجية,Trigger Candidate
-0.01857283,1,Neutral / Unclear,0.12276,Low,-0.01857283,2026-05-20 15:30:00 UTC,False,Long Consensus,OI صاعد تدريجي,Mixed Structure,No Clear Acceptance,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Early-Live Structure,2026-05-20 15:15:00 UTC,Trades هادئة,Trigger Candidate
-0.01070717,1,Neutral / Unclear,0.12048,Medium,-0.01070717,2026-05-20 15:45:00 UTC,False,Crowd Chasing / Large Position Caution,OI صاعد تدريجي,Mixed Structure,OI Trap Risk,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Early-Live Structure,2026-05-20 15:30:00 UTC,Trades هادئة,Trigger Candidate
-0.023408,6,Neutral / Unclear,0.11919,Medium,-0.00771877,2026-05-20 17:15:00 UTC,False,Crowd Chasing / Large Position Caution,OI Flush,Mixed Structure,No Clear Acceptance,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Watchlist Only,2026-05-20 15:45:00 UTC,Trades تنظيف,Trigger Candidate
-0.0093617,5,Neutral / Unclear,0.1175,Medium,0.00655319,2026-05-20 17:15:00 UTC,False,Crowd Chasing / Large Position Caution,OI Flush,Mixed Structure,No Clear Acceptance,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Watchlist Only,2026-05-20 16:00:00 UTC,Trades صحية تدريجية,Trigger Candidate
-0.00461775,4,Neutral / Unclear,0.11694,Low,0.01137335,2026-05-20 17:15:00 UTC,False,Crowd Chasing / Large Position Caution,OI هابط تدريجي,Mixed Structure,No Clear Acceptance,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Watchlist Only,2026-05-20 16:15:00 UTC,Trades صحية تدريجية,Trigger Candidate
0.0,3,Neutral / Unclear,0.1164,Medium,0.01606529,2026-05-20 17:15:00 UTC,False,Mixed L/S Structure,OI Flush,Mixed Structure,No Clear Acceptance,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Watchlist Only,2026-05-20 16:30:00 UTC,Trades صحية تدريجية,Trigger Candidate
