account_lsr,bars_to_future_max,base_detected,base_vacuum,bias,close,confidence,future_max_return,global_lsr,idx,oi,oi_change_pct,oi_state,pattern,position_lsr,quote_validation,readiness,result_tag,suitable,symbol,time,trades
1.7988,21,,,,0.11048,,0.12880159,1.5602,0,40848854.0,0.0,,,1.0885,,,EVENT_START,False,ALLOUSDT,2026-04-29 00:00:00 UTC,9296
1.8345,20,,,,0.10988,,0.13496542,1.5773,1,40814501.0,-0.08,,,1.0849,,,,False,ALLOUSDT,2026-04-29 04:00:00 UTC,10693
1.727,19,,,,0.11061,,0.12747491,1.4783,2,40683346.0,-0.32,,,1.0539,,,,False,ALLOUSDT,2026-04-29 08:00:00 UTC,13444
1.6674,18,,,,0.11037,,0.12992661,1.451,3,40724188.0,0.1,,,1.0491,,,,False,ALLOUSDT,2026-04-29 12:00:00 UTC,16604
1.7457,17,,,,0.1094,,0.13994516,1.5063,4,40763162.0,0.1,,,1.0412,,,,False,ALLOUSDT,2026-04-29 16:00:00 UTC,16724
1.7556,16,,,,0.10916,,0.14245145,1.5189,5,40876752.0,0.28,,,1.055,,,,False,ALLOUSDT,2026-04-29 20:00:00 UTC,7752
1.8249,24,,,,0.109,,0.15036697,1.5413,6,40858056.0,-0.05,,,1.0608,,,,False,ALLOUSDT,2026-04-30 00:00:00 UTC,9689
1.8098,24,,,,0.10786,,0.19441869,1.5628,7,40781117.0,-0.19,,,1.0545,,,,False,ALLOUSDT,2026-04-30 04:00:00 UTC,10953
1.73,23,,,,0.11346,,0.13546624,1.4637,8,40779553.0,-0.0038351082928895744,,,1.0264,,,,False,ALLOUSDT,2026-04-30 08:00:00 UTC,24328
1.5634,22,,,,0.11513,,0.11899592,1.3674,9,40289434.0,-1.2,,,0.9814,,,,False,ALLOUSDT,2026-04-30 12:00:00 UTC,35180
1.5981,21,,,,0.1154,,0.11637782,1.4516,10,40091230.0,-0.49,,,0.947,,,,False,ALLOUSDT,2026-04-30 16:00:00 UTC,28299
1.6178,20,,,,0.12204,,0.0556375,1.4284,11,39923251.0,-0.42,,,0.9725,,,,False,ALLOUSDT,2026-04-30 20:00:00 UTC,19961
