account_lsr,bars_to_future_max,base_detected,base_vacuum,bias,close,confidence,future_max_return,global_lsr,idx,oi,oi_change_pct,oi_state,pattern,position_lsr,quote_validation,readiness,result_tag,suitable,symbol,time,trades
2.73,0,,,,0.0,,0.0,2.0703,0,40092630.2,0.0,,,3.7172,,,,False,NILUSDT,2026-05-06 00:45:00 UTC,0
2.7175,16,,,,0.03997,,0.02051539,2.0647,1,40053348.0,-0.1,,,3.6915,,,,False,NILUSDT,2026-05-06 00:50:00 UTC,298
2.7106,15,,,,0.03998,,0.02026013,2.0581,2,40035817.4,-0.04,,,3.6724,,,,False,NILUSDT,2026-05-06 00:55:00 UTC,360
2.7064,14,,,,0.04013,,0.01644655,2.0497,3,40019145.8,-0.04,,,3.669,,,,False,NILUSDT,2026-05-06 01:00:00 UTC,419
2.6536,13,,,,0.04017,,0.0154344,2.0331,4,40029443.9,0.03,,,3.6705,,,,False,NILUSDT,2026-05-06 01:05:00 UTC,358
2.6403,12,,,,0.04016,,0.01568725,2.0294,5,40041455.5,0.03,,,3.6689,,,,False,NILUSDT,2026-05-06 01:10:00 UTC,286
2.6403,11,,,,0.04034,,0.01115518,2.034,6,40069175.4,0.07,,,3.6695,,,,False,NILUSDT,2026-05-06 01:15:00 UTC,339
2.6443,10,,,,0.04033,,0.0114059,2.0358,7,40043633.0,-0.06,,,3.6707,,,,False,NILUSDT,2026-05-06 01:20:00 UTC,382
2.6179,9,,,,0.04032,,0.01165675,2.0202,8,40052840.2,0.02,,,3.6741,,,,False,NILUSDT,2026-05-06 01:25:00 UTC,347
2.6193,8,,,,0.04039,,0.00990344,2.0139,9,40053423.9,0.0014573248665534825,,,3.6748,,,,False,NILUSDT,2026-05-06 01:30:00 UTC,302
2.6179,7,,,,0.04034,,0.01115518,2.013,10,40058251.8,0.01,,,3.6765,,,,False,NILUSDT,2026-05-06 01:35:00 UTC,346
2.614,6,,,,0.04053,,0.006415,2.013,11,40056081.7,-0.01,,,3.6824,,,,False,NILUSDT,2026-05-06 01:40:00 UTC,433
2.6258,5,,,,0.04058,,0.00517496,2.003,12,40124653.0,0.17,,,3.6848,,,,False,NILUSDT,2026-05-06 01:45:00 UTC,352
2.6324,4,,,,0.0406,,0.0046798,2.0057,13,40113163.0,-0.03,,,3.6859,,,,False,NILUSDT,2026-05-06 01:50:00 UTC,362
