adverse_before_future_max,bars_to_future_max,bias,close,confidence,future_max_return,future_max_time,is_signal,ls_divergence,oi_read,pattern,price_acceptance,quote_volume_validation,readiness,time,trades_read,trigger_status
0.0,1,,0.4121,,0.00097064,2026-05-07 00:15:00 UTC,False,,,,,,,2026-05-07 00:10:00 UTC,,
-0.00460606,4,,0.4125,,-0.00024242,2026-05-07 00:35:00 UTC,False,,,,,,,2026-05-07 00:15:00 UTC,,
-0.00339806,3,,0.412,,0.00097087,2026-05-07 00:35:00 UTC,False,,,,,,,2026-05-07 00:20:00 UTC,,
-0.00218712,2,,0.4115,,0.00218712,2026-05-07 00:35:00 UTC,False,,,,,,,2026-05-07 00:25:00 UTC,,
0.0,1,,0.4106,,0.00438383,2026-05-07 00:35:00 UTC,False,,,,,,,2026-05-07 00:30:00 UTC,,
-0.00484966,2,,0.4124,,-0.00339476,2026-05-07 00:45:00 UTC,False,,,,,,,2026-05-07 00:35:00 UTC,,
0.0,1,,0.4104,,0.00146199,2026-05-07 00:45:00 UTC,False,,,,,,,2026-05-07 00:40:00 UTC,,
-0.01459854,24,,0.411,,0.00048662,2026-05-07 02:45:00 UTC,False,,,,,,,2026-05-07 00:45:00 UTC,,
-0.01291738,24,,0.4103,,0.00438703,2026-05-07 02:50:00 UTC,False,,,,,,,2026-05-07 00:50:00 UTC,,
-0.01219512,24,,0.41,,0.00560976,2026-05-07 02:55:00 UTC,False,,,,,,,2026-05-07 00:55:00 UTC,,
-0.00197141,23,,0.4058,,0.01601774,2026-05-07 02:55:00 UTC,False,,,,,,,2026-05-07 01:00:00 UTC,,
-0.00466945,24,,0.4069,,0.01548292,2026-05-07 03:05:00 UTC,False,,,,,,,2026-05-07 01:05:00 UTC,,
-0.00442478,23,,0.4068,,0.01573255,2026-05-07 03:05:00 UTC,False,,,,,,,2026-05-07 01:10:00 UTC,,
-0.00466945,24,,0.4069,,0.01695748,2026-05-07 03:15:00 UTC,False,,,,,,,2026-05-07 01:15:00 UTC,,
-0.00417999,23,,0.4067,,0.01745759,2026-05-07 03:15:00 UTC,False,,,,,,,2026-05-07 01:20:00 UTC,,
-0.01098901,24,,0.4095,,0.01733822,2026-05-07 03:25:00 UTC,False,,,,,,,2026-05-07 01:25:00 UTC,,
-0.00344488,23,,0.4064,,0.02509843,2026-05-07 03:25:00 UTC,False,,,,,,,2026-05-07 01:30:00 UTC,,
-0.00686611,22,,0.4078,,0.02157921,2026-05-07 03:25:00 UTC,False,,,,,,,2026-05-07 01:35:00 UTC,,
-0.00832517,21,,0.4084,,0.02007835,2026-05-07 03:25:00 UTC,False,,,,,,,2026-05-07 01:40:00 UTC,,
-0.00977995,20,,0.409,,0.01858191,2026-05-07 03:25:00 UTC,False,,,,,,,2026-05-07 01:45:00 UTC,,
0.0,19,,0.405,,0.02864198,2026-05-07 03:25:00 UTC,False,,,,,,,2026-05-07 01:50:00 UTC,,
0.0,18,,0.4054,,0.02762704,2026-05-07 03:25:00 UTC,False,,,,,,,2026-05-07 01:55:00 UTC,,
-0.00024582,17,,0.4068,,0.02409046,2026-05-07 03:25:00 UTC,False,,,,,,,2026-05-07 02:00:00 UTC,,
0.0,16,,0.4067,,0.02434227,2026-05-07 03:25:00 UTC,False,,,,,,,2026-05-07 02:05:00 UTC,,
0.0,15,,0.4069,,0.02383878,2026-05-07 03:25:00 UTC,False,,,,,,,2026-05-07 02:10:00 UTC,,
-0.00195934,14,,0.4083,,0.02032819,2026-05-07 03:25:00 UTC,False,,,,,,,2026-05-07 02:15:00 UTC,,
-0.00122549,13,,0.408,,0.02107843,2026-05-07 03:25:00 UTC,False,,,,,,,2026-05-07 02:20:00 UTC,,
0.0,12,,0.4075,,0.02233129,2026-05-07 03:25:00 UTC,False,,,,,,,2026-05-07 02:25:00 UTC,,
0.0,11,,0.4087,,0.01932958,2026-05-07 03:25:00 UTC,False,,,,,,,2026-05-07 02:30:00 UTC,,
0.0,10,Neutral / Unclear,0.4097,Medium,0.01684159,2026-05-07 03:25:00 UTC,False,Top Position Retention with Non-Chasing Accounts,Price-led Base Move Without OI Expansion,Mixed Structure,Pre-OI / No-OI Accepted Move From Base,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,2026-05-07 02:35:00 UTC,Trades هادئة,No Trigger
0.0,9,Neutral / Unclear,0.4109,Medium,0.01387199,2026-05-07 03:25:00 UTC,False,Top Position Retention with Non-Chasing Accounts,Price-led Base Move Without OI Expansion,Mixed Structure,Pre-OI / No-OI Accepted Move From Base,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,2026-05-07 02:40:00 UTC,Trades هادئة,No Trigger
0.0,8,Neutral / Unclear,0.4112,Medium,0.0131323,2026-05-07 03:25:00 UTC,False,Top Position Retention with Non-Chasing Accounts,OI ثابت,Mixed Structure,No Clear Acceptance,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,2026-05-07 02:45:00 UTC,Trades هادئة,No Trigger
-0.00097064,7,Neutral / Unclear,0.4121,Medium,0.01091968,2026-05-07 03:25:00 UTC,False,Top Position Retention with Non-Chasing Accounts,Price-led Base Move Without OI Expansion,Mixed Structure,Pre-OI / No-OI Accepted Move From Base,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,2026-05-07 02:50:00 UTC,Trades هادئة,No Trigger
-0.00145525,6,Neutral / Unclear,0.4123,Medium,0.0104293,2026-05-07 03:25:00 UTC,False,Top Position Retention with Non-Chasing Accounts,Price-led Base Move Without OI Expansion,Mixed Structure,No Clear Acceptance,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,2026-05-07 02:55:00 UTC,Trades هادئة,No Trigger
0.0,5,Neutral / Unclear,0.4117,Medium,0.01190187,2026-05-07 03:25:00 UTC,False,Top Position Retention with Non-Chasing Accounts,Price-led Base Move Without OI Expansion,Mixed Structure,No Trigger / Base Holding,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,2026-05-07 03:00:00 UTC,Trades هادئة,No Trigger
-0.00217812,4,Neutral / Unclear,0.4132,Medium,0.00822846,2026-05-07 03:25:00 UTC,False,Top Position Retention with Non-Chasing Accounts,OI Flush,Mixed Structure,Accepted Breakout,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,2026-05-07 03:05:00 UTC,Trades هادئة,No Trigger
0.0,3,Neutral / Unclear,0.4123,Medium,0.0104293,2026-05-07 03:25:00 UTC,False,Top Position Retention with Non-Chasing Accounts,OI هابط تدريجي,Mixed Structure,No Trigger / Base Holding,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,2026-05-07 03:10:00 UTC,Trades هادئة,No Trigger
-0.00048333,2,Neutral / Unclear,0.4138,Medium,0.00676655,2026-05-07 03:25:00 UTC,False,Top Position Retention with Non-Chasing Accounts,Price-led Base Move Without OI Expansion,Mixed Structure,No Clear Acceptance,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,2026-05-07 03:15:00 UTC,Trades هادئة,No Trigger
-0.01378143,24,Neutral / Unclear,0.4136,Medium,0.00773694,2026-05-07 05:20:00 UTC,False,Mixed L/S Structure,OI ثابت,Mixed Structure,No Trigger / Base Holding,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,2026-05-07 03:20:00 UTC,Trades هادئة,No Trigger
