account_lsr,bars_to_future_max,base_detected,base_vacuum,bias,close,confidence,future_max_return,global_lsr,idx,oi,oi_change_pct,oi_state,pattern,position_lsr,quote_validation,readiness,result_tag,suitable,symbol,time,trades
4.2521,3,,,,3.2e-05,,0.03125,2.9635,0,46982417536.0,0.0,,,2.0122,,,,False,DOGSUSDT,2026-05-02 14:15:00 UTC,325
4.3022,2,,,,3.2e-05,,0.03125,2.992,1,46701858905.0,-0.6,,,1.9672,,,,False,DOGSUSDT,2026-05-02 14:30:00 UTC,435
-0.014,1,,,,3.2e-05,,0.03125,-0.0269,2,46769532374.0,4.2882,,,-0.0059,,,,False,DOGSUSDT,2026-05-02 14:45:00 UTC,357
-0.0416,0,,,,3.3e-05,,0.0,0.0158,3,47069337557.0,4.2466,,,0.0038,,,,False,DOGSUSDT,2026-05-02 15:00:00 UTC,922
0.011,0,,,,3.3e-05,,0.0,-0.0205,4,47229958683.0,4.2576,,,-0.0048,,,,False,DOGSUSDT,2026-05-02 15:15:00 UTC,722
-0.0601,0,,,,3.3e-05,,0.0,-0.0311,5,47348525470.0,4.1975,,,-0.0028,,,,False,DOGSUSDT,2026-05-02 15:30:00 UTC,628
4.2743,0,,,,3.3e-05,,0.0,3.0486,6,47021640416.0,-0.69,,,1.9593,,,,False,DOGSUSDT,2026-05-02 15:45:00 UTC,676
0.0055,0,,,,3.3e-05,,0.0,-0.0341,7,47422570623.0,4.2798,,,0.0063,,,,False,DOGSUSDT,2026-05-02 16:00:00 UTC,468
4.3191,0,,,,3.3e-05,,0.0,3.0339,8,47319716515.0,-0.22,,,1.9702,,,,False,DOGSUSDT,2026-05-02 16:15:00 UTC,325
-0.0028,0,,,,3.3e-05,,0.0,0.0163,9,47334030699.0,4.3163,,,0.0022,,,,False,DOGSUSDT,2026-05-02 16:30:00 UTC,203
0.0114,0,,,,3.3e-05,,0.0,-0.0065,10,47373408843.0,4.3277,,,0.0021,,,,False,DOGSUSDT,2026-05-02 16:45:00 UTC,491
-0.0057,0,,,,3.3e-05,,0.0,0.0363,11,47800412439.0,4.322,,,0.0132,,,,False,DOGSUSDT,2026-05-02 17:00:00 UTC,417
