adverse_before_future_max,bars_to_future_max,bias,close,confidence,future_max_return,future_max_time,is_signal,ls_divergence,oi_read,pattern,price_acceptance,quote_volume_validation,readiness,time,trades_read,trigger_status
-0.00194823,1,,0.10779,,-0.00194823,2026-05-07 00:15:00 UTC,False,,,,,,,2026-05-07 00:10:00 UTC,,
-0.00185908,1,,0.10758,,-0.00185908,2026-05-07 00:20:00 UTC,False,,,,,,,2026-05-07 00:15:00 UTC,,
-0.00372509,2,,0.10738,,-0.00353883,2026-05-07 00:30:00 UTC,False,,,,,,,2026-05-07 00:20:00 UTC,,
0.0,1,,0.10698,,0.00018695,2026-05-07 00:30:00 UTC,False,,,,,,,2026-05-07 00:25:00 UTC,,
-0.00140187,1,,0.107,,-0.00140187,2026-05-07 00:35:00 UTC,False,,,,,,,2026-05-07 00:30:00 UTC,,
-0.00299485,2,,0.10685,,0.0,2026-05-07 00:45:00 UTC,False,,,,,,,2026-05-07 00:35:00 UTC,,
0.0,1,,0.10653,,0.00300385,2026-05-07 00:45:00 UTC,False,,,,,,,2026-05-07 00:40:00 UTC,,
-0.00243332,1,,0.10685,,-0.00243332,2026-05-07 00:50:00 UTC,False,,,,,,,2026-05-07 00:45:00 UTC,,
-0.00253307,2,,0.10659,,-0.00084436,2026-05-07 01:00:00 UTC,False,,,,,,,2026-05-07 00:50:00 UTC,,
0.0,1,,0.10632,,0.001693,2026-05-07 01:00:00 UTC,False,,,,,,,2026-05-07 00:55:00 UTC,,
-0.00760563,7,,0.1065,,-0.00065728,2026-05-07 01:35:00 UTC,False,,,,,,,2026-05-07 01:00:00 UTC,,
-0.00283046,6,,0.10599,,0.00415134,2026-05-07 01:35:00 UTC,False,,,,,,,2026-05-07 01:05:00 UTC,,
-0.00480226,5,,0.1062,,0.00216573,2026-05-07 01:35:00 UTC,False,,,,,,,2026-05-07 01:10:00 UTC,,
-0.0010397,4,,0.1058,,0.00595463,2026-05-07 01:35:00 UTC,False,,,,,,,2026-05-07 01:15:00 UTC,,
0.0,3,,0.10569,,0.00700161,2026-05-07 01:35:00 UTC,False,,,,,,,2026-05-07 01:20:00 UTC,,
-0.00066038,2,,0.106,,0.0040566,2026-05-07 01:35:00 UTC,False,,,,,,,2026-05-07 01:25:00 UTC,,
0.0,1,,0.10593,,0.0047201,2026-05-07 01:35:00 UTC,False,,,,,,,2026-05-07 01:30:00 UTC,,
-0.00178521,2,,0.10643,,-0.00075167,2026-05-07 01:45:00 UTC,False,,,,,,,2026-05-07 01:35:00 UTC,,
0.0,1,,0.10624,,0.00103539,2026-05-07 01:45:00 UTC,False,,,,,,,2026-05-07 01:40:00 UTC,,
-0.00084626,1,,0.10635,,-0.00084626,2026-05-07 01:50:00 UTC,False,,,,,,,2026-05-07 01:45:00 UTC,,
-0.00244683,1,,0.10626,,-0.00244683,2026-05-07 01:55:00 UTC,False,,,,,,,2026-05-07 01:50:00 UTC,,
-0.00235849,1,,0.106,,-0.00235849,2026-05-07 02:00:00 UTC,False,,,,,,,2026-05-07 01:55:00 UTC,,
-0.0070922,15,,0.10575,,-0.00170213,2026-05-07 03:15:00 UTC,False,,,,,,,2026-05-07 02:00:00 UTC,,
-0.00313301,14,,0.10533,,0.00227855,2026-05-07 03:15:00 UTC,False,,,,,,,2026-05-07 02:05:00 UTC,,
0.0,13,,0.105,,0.00542857,2026-05-07 03:15:00 UTC,False,,,,,,,2026-05-07 02:10:00 UTC,,
-0.00104573,12,,0.10519,,0.00361251,2026-05-07 03:15:00 UTC,False,,,,,,,2026-05-07 02:15:00 UTC,,
-0.00171005,11,,0.10526,,0.00294509,2026-05-07 03:15:00 UTC,False,,,,,,,2026-05-07 02:20:00 UTC,,
-0.00057067,10,,0.10514,,0.00408979,2026-05-07 03:15:00 UTC,False,,,,,,,2026-05-07 02:25:00 UTC,,
-0.00057067,9,,0.10514,,0.00408979,2026-05-07 03:15:00 UTC,False,,,,,,,2026-05-07 02:30:00 UTC,,
-0.0016152,8,Early Bullish Structure,0.10525,Medium,0.00304038,2026-05-07 03:15:00 UTC,True,Short Pressure Against Stable Big Positions,OI ثابت,Absorption After Flush,No Trigger / Base Holding,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,2026-05-07 02:35:00 UTC,Trades هادئة,No Trigger
-0.00751808,24,Neutral / Unclear,0.10508,Medium,0.00485344,2026-05-07 04:40:00 UTC,False,Short Pressure Against Stable Big Positions,OI ثابت,Mixed Structure,No Trigger / Base Holding,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,2026-05-07 02:40:00 UTC,Trades هادئة,No Trigger
-0.00874442,24,Early Bullish Structure,0.10521,Medium,0.0047524,2026-05-07 04:45:00 UTC,True,Broad Risk-Off / Position Reduction,OI صاعد انفجاري,Short Build Under Stable Price,No Trigger / Base Holding,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,2026-05-07 02:45:00 UTC,Trades هادئة,No Trigger
-0.00996772,24,Neutral / Unclear,0.10534,Medium,0.00474654,2026-05-07 04:50:00 UTC,False,Top Position Retention with Non-Chasing Accounts,Delayed Constructive OI Reload After Reset,Mixed Structure,Pre-OI Accepted Move After Reset,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Early-Live Structure,2026-05-07 02:50:00 UTC,Trades هادئة,No Trigger
-0.00959164,23,Neutral / Unclear,0.1053,Low,0.00512821,2026-05-07 04:50:00 UTC,False,Top Position Retention with Non-Chasing Accounts,Delayed Constructive OI Reload After Reset,Mixed Structure,No Trigger / Base Holding,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Early-Live Structure,2026-05-07 02:55:00 UTC,Trades هادئة,No Trigger
-0.0102496,24,Neutral / Unclear,0.10537,Medium,0.00465028,2026-05-07 05:00:00 UTC,False,Top Position Retention with Non-Chasing Accounts,Delayed Constructive OI Reload After Reset,Mixed Structure,Pre-OI Accepted Move After Reset,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Early-Live Structure,2026-05-07 03:00:00 UTC,Trades هادئة,No Trigger
-0.01146919,23,Early Bullish Structure,0.1055,Medium,0.00341232,2026-05-07 05:00:00 UTC,True,Mixed L/S Structure,Delayed Constructive OI Reload After Reset,Absorption After Flush,Pre-OI Accepted Move After Reset,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Early-Live Structure,2026-05-07 03:05:00 UTC,Trades هادئة,No Trigger
-0.01184385,24,Neutral / Unclear,0.10554,Medium,0.00549555,2026-05-07 05:10:00 UTC,False,Top Position Retention with Non-Chasing Accounts,Delayed Constructive OI Reload After Reset,Mixed Structure,Pre-OI Accepted Move After Reset,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Early-Live Structure,2026-05-07 03:10:00 UTC,Trades هادئة,No Trigger
-0.01212466,23,Neutral / Unclear,0.10557,Medium,0.00520981,2026-05-07 05:10:00 UTC,False,Top Position Retention with Non-Chasing Accounts,Delayed Constructive OI Reload After Reset,Mixed Structure,Pre-OI Accepted Move After Reset,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Early-Live Structure,2026-05-07 03:15:00 UTC,Trades هادئة,No Trigger
-0.00732915,22,Distribution Risk,0.10506,Low,0.01008947,2026-05-07 05:10:00 UTC,False,Top Position Retention with Non-Chasing Accounts,OI ثابت,Failed Base Ignition,Structure Invalidated,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-05-07 03:20:00 UTC,Trades صحية تدريجية,No Trigger
-0.00968569,21,Early Bullish Structure,0.10531,Medium,0.00769158,2026-05-07 05:10:00 UTC,True,Mixed L/S Structure,OI ثابت,Absorption After Flush,No Trigger / Base Holding,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,2026-05-07 03:25:00 UTC,Trades هادئة,No Trigger
-0.00657268,20,Distribution Risk,0.10498,Medium,0.01085921,2026-05-07 05:10:00 UTC,False,Top Position Retention with Non-Chasing Accounts,OI ثابت,Failed Base Ignition,Structure Invalidated,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-05-07 03:30:00 UTC,Trades هادئة,No Trigger
-0.00458146,19,Distribution Risk,0.10477,Medium,0.01288537,2026-05-07 05:10:00 UTC,False,Mixed L/S Structure,OI ثابت,Failed Base Ignition,Structure Invalidated,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-05-07 03:35:00 UTC,Trades هادئة,No Trigger
-0.00220054,18,Distribution Risk,0.10452,Medium,0.01530808,2026-05-07 05:10:00 UTC,False,Top Position Retention with Non-Chasing Accounts,OI ثابت,Failed Base Ignition,Structure Invalidated,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-05-07 03:40:00 UTC,Trades صحية تدريجية,No Trigger
-0.00458146,17,Neutral / Unclear,0.10477,Medium,0.01288537,2026-05-07 05:10:00 UTC,False,Top Position Retention with Non-Chasing Accounts,OI ثابت,Mixed Structure,No Trigger / Base Holding,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,2026-05-07 03:45:00 UTC,Trades هادئة,No Trigger
-0.00324955,16,Neutral / Unclear,0.10463,Low,0.01424066,2026-05-07 05:10:00 UTC,False,Top Position Retention with Non-Chasing Accounts,OI ثابت,Mixed Structure,No Trigger / Base Holding,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,2026-05-07 03:50:00 UTC,Trades هادئة,No Trigger
-0.00134061,15,Distribution Risk,0.10443,Medium,0.01618309,2026-05-07 05:10:00 UTC,False,Top Position Retention with Non-Chasing Accounts,OI ثابت,Failed Base Ignition,Structure Invalidated,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-05-07 03:55:00 UTC,Trades هادئة,No Trigger
-0.00353526,14,Neutral / Unclear,0.10466,Medium,0.01394993,2026-05-07 05:10:00 UTC,False,Top Position Retention with Non-Chasing Accounts,OI ثابت,Mixed Structure,No Trigger / Base Holding,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,2026-05-07 04:00:00 UTC,Trades / Quote Vacuum Ignition من Base بدون Reset,No Trigger
0.0,13,Distribution Risk,0.10429,Medium,0.01754722,2026-05-07 05:10:00 UTC,False,Top Position Retention with Non-Chasing Accounts,OI Flush,Failed Base Ignition,Structure Invalidated,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-05-07 04:05:00 UTC,Trades صحية تدريجية,No Trigger
-0.00038113,12,Neutral / Unclear,0.10495,Medium,0.01114817,2026-05-07 05:10:00 UTC,False,Mixed L/S Structure,Price-led Base Move Without OI Expansion,Mixed Structure,Pre-OI / No-OI Accepted Move From Base,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,2026-05-07 04:10:00 UTC,Trades هادئة,No Trigger
0.0,11,Neutral / Unclear,0.10491,Medium,0.0115337,2026-05-07 05:10:00 UTC,False,Mixed L/S Structure,Price-led Base Move Without OI Expansion,Mixed Structure,No Trigger / Base Holding,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,2026-05-07 04:15:00 UTC,Trades هادئة,No Trigger
-0.0002858,10,Neutral / Unclear,0.10497,Medium,0.01095551,2026-05-07 05:10:00 UTC,False,Top Position Retention with Non-Chasing Accounts,OI ثابت,Mixed Structure,Pre-OI Accepted Move After Reset,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,2026-05-07 04:20:00 UTC,Trades هادئة,No Trigger
