path,source_class,linked_symbols,line_count,encoding,extraction_status,quality_flags
 Decision Matrix في ٩ .doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
1.doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
1.txt,PRIOR_ANALYSIS,0GUSDT;1000CHEEMSUSDT;1000RATSUSDT;1INCHUSDT;1MBABYDOGEUSDT;AAVEUSDT;ACXUSDT;AEROUSDT;AEVOUSDT;AIAUSDT;AIXBTUSDT;ALGOUSDT;ALLOUSDT;ALTUSDT;ANKRUSDT;API3USDT;APRUSDT;ARBUSDT;ARKMUSDT;ARPAUSDT;ARUSDT;ASRUSDT;ATOMUSDT;AUCTIONUSDT;AVNTUSDT;AXSUSDT;BANANAUSDT;BANKUSDT;BASUSDT;BCHUSDT;BIGTIMEUSDT;BLUAIUSDT;BLURUSDT;BNTUSDT;BOMEUSDT;BREVUSDT;BSVUSDT;BTCDOMUSDT;BTCUSDT;C98USDT;CAKEUSDT;CCUSDT;CFXUSDT;CHRUSDT;CHZUSDT;COMPUSDT;COOKIEUSDT;COSUSDT;CRVUSDT;CTKUSDT;CVXUSDT;CYBERUSDT;CYSUSDT;DASHUSDT;DEEPUSDT;DEGOUSDT;DENTUSDT;DEXEUSDT;DODOXUSDT;DOGEUSDT;DOGSUSDT;DOLOUSDT;DOTUSDT;EGLDUSDT;EIGENUSDT;ELSAUSDT;ENJUSDT;ETHFIUSDT;ETHUSDT;ETHWUSDT;FARTCOINUSDT;FIDAUSDT;FIGHTUSDT;FIOUSDT;GALAUSDT;GASUSDT;GIGGLEUSDT;GLMUSDT;GMTUSDT;GPSUSDT;GRTUSDT;HBARUSDT;HIVEUSDT;HOMEUSDT;HYPERUSDT;ICNTUSDT;IDOLUSDT;IMXUSDT;INITUSDT;INJUSDT;INUSDT;IPUSDT;IRUSDT;JASMYUSDT;JCTUSDT;JTOUSDT;KAVAUSDT;LABUSDT;LAYERUSDT;LINKUSDT;LITUSDT;LQTYUSDT;LUNA2USDT;MASKUSDT;MBOXUSDT;MEGAUSDT;MEMEUSDT;METISUSDT;METUSDT;MEWUSDT;MINAUSDT;MIRAUSDT;MITOUSDT;MLNUSDT;MONUSDT;MOODENGUSDT;MYXUSDT;NEARUSDT;NEIROUSDT;NFPUSDT;NIGHTUSDT;OGUSDT;ONDOUSDT;OPENUSDT;OPUSDT;ORDERUSDT;ORDIUSDT;OXTUSDT;PENDLEUSDT;PEOPLEUSDT;PHAUSDT;PIXELUSDT;POLUSDT;POLYXUSDT;POWERUSDT;PROVEUSDT;PUMPBTCUSDT;PUMPUSDT;PYTHUSDT;QTUMUSDT;RAVEUSDT;REDUSDT;RENDERUSDT;REZUSDT;ROBOUSDT;ROSEUSDT;RPLUSDT;RUNEUSDT;RVNUSDT;SAGAUSDT;SCRUSDT;SEIUSDT;SLPUSDT;SOMIUSDT;SONICUSDT;SPACEUSDT;SPKUSDT;SSVUSDT;STABLEUSDT;STEEMUSDT;STRKUSDT;SUNUSDT;SUSHIUSDT;SXTUSDT;SYNUSDT;TACUSDT;TAOUSDT;THEUSDT;TIAUSDT;TNSRUSDT;TONUSDT;TOWNSUSDT;TRBUSDT;TREEUSDT;TRIAUSDT;TRUMPUSDT;TRUUSDT;TSTUSDT;TURBOUSDT;TURTLEUSDT;TUTUSDT;TWTUSDT;UAIUSDT;UBUSDT;UMAUSDT;USDCUSDT;USTCUSDT;USUALUSDT;VANRYUSDT;VETUSDT;VICUSDT;VINEUSDT;VIRTUALUSDT;VTHOUSDT;WALUSDT;WAXPUSDT;WCTUSDT;WETUSDT;WIFUSDT;WLDUSDT;WOOUSDT;XAIUSDT;XANUSDT;XLMUSDT;XMRUSDT;XNYUSDT;XPINUSDT;XPLUSDT;XRPUSDT;XVGUSDT;YBUSDT;YFIUSDT;YGGUSDT;ZBTUSDT;ZECUSDT;ZENUSDT;ZEREBROUSDT;ZETAUSDT;ZILUSDT;ZKCUSDT;ZKJUSDT;ZKPUSDT;ZKUSDT;ZORAUSDT;ZROUSDT;ZRXUSDT,5602,utf-8-sig,TEXT_AVAILABLE,
1111.doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
2 اول 5 إشارات كان يمكن بها اكتشاف الحركة.doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
2.doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
4.doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
6 حالات مهمة جدا لرصد الانفجار الصاعد المحتمل.doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
AGTUSDT.doc,BINARY_LEGACY_DOCUMENT,AGTUSDT,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
AINUSDT.txt,PRIOR_ANALYSIS,AINUSDT,190,utf-8-sig,TEXT_AVAILABLE,
AIOTUSDT.txt,MIXED_SOURCE,AIOTUSDT,158,utf-8-sig,TEXT_AVAILABLE,
AIOTUSDT١.txt,MIXED_SOURCE,AIOTUSDT;KAITOUSDT;SAFEUSDT,488,utf-8-sig,TEXT_AVAILABLE,
ALLOUSDT ١ (١).txt,PRIOR_ANALYSIS,ALLOUSDT,189,utf-8-sig,TEXT_AVAILABLE,
ALLOUSDT ١.txt,PRIOR_ANALYSIS,ALLOUSDT;UTCALLOUSDT,150,utf-8-sig,TEXT_AVAILABLE,
ALLOUSDT.txt,PRIOR_ANALYSIS,ALLOUSDT;UTCALLOUSDT,549,utf-8-sig,TEXT_AVAILABLE,
ARIAUSDT.txt,PRIOR_ANALYSIS,ARIAUSDT,190,utf-8-sig,TEXT_AVAILABLE,
BEATUSDT.txt,PRIOR_ANALYSIS,BEATUSDT;UTCBEATUSDT,549,utf-8-sig,TEXT_AVAILABLE,
BLESSUSDT.txt,PRIOR_ANALYSIS,BLESSUSDT;UTCBLESSUSDT,550,utf-8-sig,TEXT_AVAILABLE,
BOBUSDT.txt,MIXED_SOURCE,BOBUSDT,390,utf-8-sig,TEXT_AVAILABLE,
BSBUSDT.txt,PRIOR_ANALYSIS,BSBUSDT;UTCBSBUSDT,551,utf-8-sig,TEXT_AVAILABLE,
CLOUSDT.txt,PRIOR_ANALYSIS,CLOUSDT,190,utf-8-sig,TEXT_AVAILABLE,
EDENUSDT.txt,PRIOR_ANALYSIS,EDENUSDT;UTCEDENUSDT,118,utf-8-sig,TEXT_AVAILABLE,
EPICUSDT.txt,PRIOR_ANALYSIS,EPICUSDT,190,utf-8-sig,TEXT_AVAILABLE,
ESPORTSUSDT.txt,PRIOR_ANALYSIS,ESPORTSUSDT,188,utf-8-sig,TEXT_AVAILABLE,
FETCHING BINANC-WPS Offi.txt,PRIOR_ANALYSIS,ARIAUSDT;BLESSUSDT;GMXUSDT;HIGHUSDT;RAVEUSDT;REDUSDT;SPORTFUNUSDT;UTCARIAUSDT;UTCBLESSUSDT;UTCGMXUSDT;UTCHIGHUSDT;UTCRAVEUSDT;UTCREDUSDT,1039,utf-8-sig,TEXT_AVAILABLE,
FETCHING BINANC-WPS Offic.txt,PRIOR_ANALYSIS,1000000BOBUSDT,149,utf-8-sig,TEXT_AVAILABLE,
FETCHING BINANC-WPS Office (١).txt,PRIOR_ANALYSIS,CLOUSDT;UTCCLOUSDT,549,utf-8-sig,TEXT_AVAILABLE,
FETCHING BINANC-WPS Office (٢).txt,PRIOR_ANALYSIS,JTOUSDT;UTCJTOUSDT,549,utf-8-sig,TEXT_AVAILABLE,
FETCHING BINANC-WPS Office (٣).txt,PRIOR_ANALYSIS,NILUSDT;UTCNILUSDT,550,utf-8-sig,TEXT_AVAILABLE,
FETCHING BINANC-WPS Office (٤).txt,PRIOR_ANALYSIS,NOTUSDT;UTCNOTUSDT,549,utf-8-sig,TEXT_AVAILABLE,
FETCHING BINANC-WPS Office (٥).txt,PRIOR_ANALYSIS,TSTUSDT;UTCTSTUSDT,549,utf-8-sig,TEXT_AVAILABLE,
FETCHING BINANC-WPS Office (٦).txt,PRIOR_ANALYSIS,DYDXUSDT;UTCDYDXUSDT,149,utf-8-sig,TEXT_AVAILABLE,
FETCHING BINANC-WPS Office (٧).txt,PRIOR_ANALYSIS,1000000BOBUSDT,149,utf-8-sig,TEXT_AVAILABLE,
FETCHING BINANC-WPS Office.txt,PRIOR_ANALYSIS,UBUSDT;UTCUBUSDT,549,utf-8-sig,TEXT_AVAILABLE,
FETCING BINANC-WPS Office.txt,PRIOR_ANALYSIS,DOGSUSDT;UTCDOGSUSDT,549,utf-8-sig,TEXT_AVAILABLE,
GUAUSDT.txt,PRIOR_ANALYSIS,GUAUSDT;UTCGUAUSDT,550,utf-8-sig,TEXT_AVAILABLE,
HUSDT (١).txt,PRIOR_ANALYSIS,,585,utf-8-sig,TEXT_AVAILABLE,
