account_lsr,bars_to_future_max,base_detected,base_vacuum,bias,close,confidence,future_max_return,global_lsr,idx,oi,oi_change_pct,oi_state,pattern,position_lsr,quote_validation,readiness,result_tag,suitable,symbol,time,trades
0.6776,0,,,,0.0,,0.0,0.0,0,13437892.0,0.0,,,1.0157,,,,False,GUAUSDT,2026-05-23 10:15:00 UTC,0
0.6697,6,,,,1.3041,,0.00483092,0.7428,1,13413900.0,-0.18,,,1.0154,,,,False,GUAUSDT,2026-05-23 10:30:00 UTC,4234
0.6731,5,,,,1.2942,,0.01251739,0.7522,2,13435916.0,0.16,,,1.0115,,,,False,GUAUSDT,2026-05-23 10:45:00 UTC,6765
0.6821,4,,,,1.2858,,0.01913206,0.7603,3,13471303.0,0.26,,,1.0074,,,,False,GUAUSDT,2026-05-23 11:00:00 UTC,5058
0.6832,3,,,,1.295,,0.01189189,0.7562,4,13481014.0,0.07,,,1.0053,,,,False,GUAUSDT,2026-05-23 11:15:00 UTC,5932
0.6829,2,,,,1.2932,,0.01330034,0.7627,5,13531523.0,0.37,,,1.002,,,,False,GUAUSDT,2026-05-23 11:30:00 UTC,5897
0.6773,1,,,,1.3001,,0.00792247,0.7559,6,13527281.0,-0.03,,,1.0008,,,,False,GUAUSDT,2026-05-23 11:45:00 UTC,7918
0.6804,0,,,,1.3104,,0.0,0.7587,7,13550510.0,0.17,,,0.9977,,,,False,GUAUSDT,2026-05-23 12:00:00 UTC,6398
0.6736,2,,,,1.2953,,0.00841504,0.7522,8,13557750.0,0.05,,,0.995,,,,False,GUAUSDT,2026-05-23 12:15:00 UTC,6541
0.6906,1,,,,1.3032,,0.00230203,0.7746,9,13614525.0,0.42,,,0.9896,,,,False,GUAUSDT,2026-05-23 12:30:00 UTC,3084
0.6849,24,,,,1.3062,,0.02342673,0.7671,10,13595455.0,-0.14,,,0.9902,,,,False,GUAUSDT,2026-05-23 12:45:00 UTC,5198
0.6866,24,,,,1.3006,,0.03075504,0.7727,11,13611672.0,0.12,,,0.9861,,,,False,GUAUSDT,2026-05-23 13:00:00 UTC,4024
0.6878,23,,,,1.2939,,0.03609243,0.7715,12,13610504.0,-0.01,,,0.9838,,,,False,GUAUSDT,2026-05-23 13:15:00 UTC,2162
0.688,22,,,,1.2995,,0.03162755,0.7727,13,13609605.0,-0.01,,,0.9848,,,,False,GUAUSDT,2026-05-23 13:30:00 UTC,1765
0.6863,21,,,,1.1598,,0.15588895,0.7705,14,13591510.0,-0.13,,,0.9839,,,EVENT_START,False,GUAUSDT,2026-05-23 13:45:00 UTC,30843
0.7449,20,,,,1.1411,,0.1748313,0.8165,15,14087555.0,3.65,,,0.9654,,,,False,GUAUSDT,2026-05-23 14:00:00 UTC,45618
0.7593,24,,,,1.143,,0.22099738,0.8175,16,14356172.0,1.91,,,0.9669,,,,False,GUAUSDT,2026-05-23 14:15:00 UTC,27296
0.7461,24,,,,1.1745,,0.22230736,0.8041,17,14340981.0,-0.11,,,0.9632,,,,False,GUAUSDT,2026-05-23 14:30:00 UTC,18060
0.7391,23,,,,1.2536,,0.14518188,0.7999,18,14423983.0,0.58,,,0.9748,,,,False,GUAUSDT,2026-05-23 14:45:00 UTC,29276
0.7074,22,,,,1.2858,,0.11650334,0.7759,19,14324082.0,-0.69,,,0.9756,,,,False,GUAUSDT,2026-05-23 15:00:00 UTC,23998
0.6955,21,,,,1.2623,,0.13728908,0.7609,20,14344104.0,0.14,,,0.9731,,,,False,GUAUSDT,2026-05-23 15:15:00 UTC,16380
0.7036,20,,,,1.3038,,0.10108912,0.7643,21,14282099.0,-0.43,,,0.9665,,,,False,GUAUSDT,2026-05-23 15:30:00 UTC,12197
0.6892,19,,,,1.2845,,0.11763332,0.7606,22,14314637.0,0.23,,,0.966,,,,False,GUAUSDT,2026-05-23 15:45:00 UTC,12426
0.6829,18,,,,1.2707,,0.12977099,0.7461,23,14276373.0,-0.27,,,0.9696,,,,False,GUAUSDT,2026-05-23 16:00:00 UTC,7168
0.6776,17,,,,1.2682,,0.13199811,0.7382,24,14254344.0,-0.15,,,0.9713,,,,False,GUAUSDT,2026-05-23 16:15:00 UTC,15303
0.6827,16,,,,1.2627,,0.1369288,0.7394,25,14226432.0,-0.2,,,0.973,,,,False,GUAUSDT,2026-05-23 16:30:00 UTC,10009
0.6722,15,,,,1.287,,0.11546232,0.7247,26,14144238.0,-0.58,,,0.9813,,,,False,GUAUSDT,2026-05-23 16:45:00 UTC,8868
0.665,14,,,,1.271,,0.12950433,0.712,27,14071346.0,-0.52,,,0.9859,,,,False,GUAUSDT,2026-05-23 17:00:00 UTC,6363
0.6736,13,,,,1.2766,,0.12454958,0.7209,28,14022627.0,-0.35,,,0.9868,,,,False,GUAUSDT,2026-05-23 17:15:00 UTC,7534
0.6722,12,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,1.2703,Medium,0.13012674,0.7129,29,13999725.0,-0.16,OI Deleveraging After Pump,Mixed Structure,0.9882,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,GUAUSDT,2026-05-23 17:30:00 UTC,6305
0.6692,11,True,Weak Base Drift / لا ترفعها أعلى من Watchlist,Neutral / Unclear,1.3022,Medium,0.10244202,0.7053,30,13962128.0,-0.27,Price-led Base Move Without OI Expansion,Mixed Structure,0.9904,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,GUAUSDT,2026-05-23 17:45:00 UTC,8457
0.6678,10,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,1.2916,Medium,0.11148963,0.7079,31,13927982.0,-0.24,Price-led Base Move Without OI Expansion,Mixed Structure,0.9906,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,GUAUSDT,2026-05-23 18:00:00 UTC,5989
0.662,9,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,1.2967,Medium,0.10711807,0.7039,32,13891900.0,-0.26,Price-led Base Move Without OI Expansion,Mixed Structure,0.9926,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,GUAUSDT,2026-05-23 18:15:00 UTC,8438
0.6598,8,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,1.2955,Medium,0.10814357,0.7085,33,13825615.0,-0.48,OI هابط تدريجي,Mixed Structure,0.99,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,GUAUSDT,2026-05-23 18:30:00 UTC,4692
0.654,7,True,Weak Base Drift / لا ترفعها أعلى من Watchlist,Neutral / Unclear,1.3368,Medium,0.07390784,0.701,34,13807815.0,-0.13,Price-led Base Move Without OI Expansion,Mixed Structure,0.9945,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,GUAUSDT,2026-05-23 18:45:00 UTC,13242
0.6598,6,True,Weak Base Drift / لا ترفعها أعلى من Watchlist,Neutral / Unclear,1.3406,Medium,0.07086379,0.7132,35,13764939.0,-0.31,Price-led Base Move Without OI Expansion,Mixed Structure,0.9948,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,EVENT_PEAK,False,GUAUSDT,2026-05-23 19:00:00 UTC,8181
0.6543,5,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,1.3381,Medium,0.07286451,0.7109,36,13740582.0,-0.18,Price-led Base Move Without OI Expansion,Mixed Structure,0.9962,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,GUAUSDT,2026-05-23 19:15:00 UTC,6148
0.6548,4,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,1.319,Medium,0.0884003,0.7167,37,13722474.0,-0.13,OI Deleveraging After Pump,Mixed Structure,0.9969,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,GUAUSDT,2026-05-23 19:30:00 UTC,23143
0.648,3,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,1.3211,Medium,0.0866702,0.7141,38,13670369.0,-0.38,OI Deleveraging After Pump,Mixed Structure,1.0017,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,GUAUSDT,2026-05-23 19:45:00 UTC,17564
0.6499,2,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,1.3281,Medium,0.0809427,0.7153,39,13687262.0,0.12,OI Deleveraging After Pump,Mixed Structure,0.9984,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,GUAUSDT,2026-05-23 20:00:00 UTC,11056
0.6439,1,True,Weak Base Drift / لا ترفعها أعلى من Watchlist,Neutral / Unclear,1.3956,Medium,0.02866151,0.7071,40,13669984.0,-0.13,Price-led Base Move Without OI Expansion,Mixed Structure,1.0028,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,GUAUSDT,2026-05-23 20:15:00 UTC,9006
0.6412,0,True,Weak Base Drift / لا ترفعها أعلى من Watchlist,Neutral / Unclear,1.4356,Medium,0.0,0.7015,41,13645635.0,-0.18,Price-led Base Move Without OI Expansion,Mixed Structure,1.0063,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,GUAUSDT,2026-05-23 20:30:00 UTC,9355
0.6327,0,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,1.4175,Medium,0.0,0.703,42,13601392.0,-0.32,Price-led Base Move Without OI Expansion,Mixed Structure,1.0069,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,GUAUSDT,2026-05-23 20:45:00 UTC,10547
0.6469,1,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,1.389,Medium,0.01108711,0.72,43,13526181.0,-0.55,OI Deleveraging After Pump,Mixed Structure,1.0057,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,GUAUSDT,2026-05-23 21:00:00 UTC,8516
0.6576,0,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,1.4044,Medium,0.0,0.7259,44,13487029.0,-0.29,OI Deleveraging After Pump,Mixed Structure,1.0061,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,GUAUSDT,2026-05-23 21:15:00 UTC,4058
0.6573,22,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,1.3569,Medium,0.02336208,0.7322,45,13474145.0,-0.1,OI Deleveraging After Pump,Mixed Structure,1.0064,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,GUAUSDT,2026-05-23 21:30:00 UTC,9573
0.6639,21,True,Primed Base for Price-led Vacuum Ignition,Bearish Structural Risk,1.3599,Medium,0.02110449,0.7349,46,13435457.0,-0.29,OI هابط تدريجي,Liquidity Exit / Decay,1.0048,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Watchlist Only,,False,GUAUSDT,2026-05-23 21:45:00 UTC,3964
0.6631,24,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,1.3808,Medium,0.0089803,0.731,47,13412455.0,-0.17,OI Deleveraging After Pump,Mixed Structure,1.0054,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,GUAUSDT,2026-05-23 22:00:00 UTC,4542
0.6692,24,True,Primed Base for Price-led Vacuum Ignition,Bearish Structural Risk,1.379,Low,0.03277737,0.7364,48,13413023.0,0.0042348697535238705,OI هابط تدريجي,Liquidity Exit / Decay,1.0047,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Watchlist Only,,False,GUAUSDT,2026-05-23 22:15:00 UTC,3003
0.6647,23,True,Failed Base Vacuum Ignition,Distribution Risk,1.3554,Medium,0.05075992,0.737,49,13412390.0,-0.004719294077107003,OI ثابت,Failed Base Ignition,1.0051,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,GUAUSDT,2026-05-23 22:30:00 UTC,5151
0.6611,22,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,1.3795,Medium,0.03240304,0.728,50,13409693.0,-0.02,OI ثابت,Mixed Structure,1.0047,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,GUAUSDT,2026-05-23 22:45:00 UTC,2358
0.6611,21,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,1.3782,Medium,0.03337687,0.7298,51,13399558.0,-0.08,OI ثابت,Mixed Structure,1.0037,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,GUAUSDT,2026-05-23 23:00:00 UTC,3543
0.66,20,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,1.371,Medium,0.03880379,0.728,52,13386170.0,-0.1,Price-led Base Move Without OI Expansion,Mixed Structure,1.0033,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,GUAUSDT,2026-05-23 23:15:00 UTC,3013
0.6625,19,True,Failed Base Vacuum Ignition,Distribution Risk,1.3502,Medium,0.0548067,0.7313,53,13374635.0,-0.09,OI ثابت,Failed Base Ignition,1.0026,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,GUAUSDT,2026-05-23 23:30:00 UTC,5578
0.665,18,True,Failed Base Vacuum Ignition,Distribution Risk,1.3443,Medium,0.05943614,0.725,54,13330777.0,-0.33,OI هابط تدريجي,Failed Base Ignition,1.0028,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,GUAUSDT,2026-05-23 23:45:00 UTC,6145
0.6573,17,True,Failed Base Vacuum Ignition,Distribution Risk,1.3349,Medium,0.0668964,0.7197,55,13303470.0,-0.2,OI هابط تدريجي,Failed Base Ignition,1.0033,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,GUAUSDT,2026-05-24 00:00:00 UTC,3827
0.6592,16,True,Primed Base for Price-led Vacuum Ignition,Bearish Structural Risk,1.3446,Medium,0.05919976,0.72,56,13299777.0,-0.03,OI هابط تدريجي,Liquidity Exit / Decay,1.0024,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Watchlist Only,,False,GUAUSDT,2026-05-24 00:15:00 UTC,4501
0.6548,15,True,Failed Base Vacuum Ignition,Distribution Risk,1.3258,Medium,0.07421934,0.7182,57,13282794.0,-0.13,OI هابط تدريجي,Failed Base Ignition,1.0008,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,GUAUSDT,2026-05-24 00:30:00 UTC,3597
0.6526,14,True,Failed Base Vacuum Ignition,Distribution Risk,1.3226,Low,0.07681839,0.7132,58,13283512.0,0.01,OI ثابت,Failed Base Ignition,1.0016,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,GUAUSDT,2026-05-24 00:45:00 UTC,5630
0.6472,13,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,1.3392,Medium,0.06347073,0.7039,59,13286752.0,0.02,OI ثابت,Mixed Structure,1.0008,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,GUAUSDT,2026-05-24 01:00:00 UTC,5758
0.6423,12,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,1.3394,Medium,0.06331193,0.6966,60,13268656.0,-0.14,Price-led Base Move Without OI Expansion,Mixed Structure,0.9995,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,GUAUSDT,2026-05-24 01:15:00 UTC,3435
0.6255,11,True,Weak Base Drift / لا ترفعها أعلى من Watchlist,Neutral / Unclear,1.3482,Medium,0.05637146,0.6798,61,13251964.0,-0.13,Price-led Base Move Without OI Expansion,Mixed Structure,0.9984,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,GUAUSDT,2026-05-24 01:30:00 UTC,3884
0.6292,24,True,Weak Base Drift / لا ترفعها أعلى من Watchlist,Neutral / Unclear,1.3515,Medium,0.05830559,0.6855,62,13250226.0,-0.01,Price-led Base Move Without OI Expansion,Mixed Structure,0.9978,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,GUAUSDT,2026-05-24 01:45:00 UTC,2642
