account_lsr,bars_to_future_max,base_detected,base_vacuum,bias,close,confidence,future_max_return,global_lsr,idx,oi,oi_change_pct,oi_state,pattern,position_lsr,quote_validation,readiness,result_tag,suitable,symbol,time,trades
2.5868,0,,,,0.010769,,0.0,2.0248,0,225935820.0,0.0,,,2.7656,,,,False,TSTUSDT,2026-04-29 13:45:00 UTC,708
2.5881,0,,,,0.010696,,0.0,2.0312,1,225626667.0,-0.14,,,2.7503,,,,False,TSTUSDT,2026-04-29 14:00:00 UTC,810
2.6062,0,,,,0.010664,,0.0,2.0211,2,225758181.00000012,0.06,,,2.7413,,,,False,TSTUSDT,2026-04-29 14:15:00 UTC,466
2.6127,0,,,,0.010646,,0.0,2.0358,3,225689634.0,-0.03,,,2.7431,,,,False,TSTUSDT,2026-04-29 14:30:00 UTC,549
2.6023,0,,,,0.010612,,0.0,2.0294,4,225996705.0000003,0.14,,,2.7391,,,,False,TSTUSDT,2026-04-29 14:45:00 UTC,586
2.5804,24,,,,0.01056,,0.00464015,2.0157,5,226201719.0000002,0.09,,,2.7264,,,,False,TSTUSDT,2026-04-29 15:00:00 UTC,1144
2.5753,24,,,,0.010591,,0.00679822,2.0039,6,226477531.00000027,0.12,,,2.7432,,,,False,TSTUSDT,2026-04-29 15:15:00 UTC,659
2.5689,23,,,,0.010524,,0.01320791,1.986,7,225920703.0,-0.25,,,2.7432,,,,False,TSTUSDT,2026-04-29 15:30:00 UTC,570
2.5753,22,,,,0.01052,,0.01359316,1.9886,8,225413208.0,-0.22,,,2.7302,,,,False,TSTUSDT,2026-04-29 15:45:00 UTC,640
2.5842,21,,,,0.010525,,0.01311164,1.9958,9,225395120.0,-0.01,,,2.7082,,,,False,TSTUSDT,2026-04-29 16:00:00 UTC,1541
2.5549,24,,,,0.010499,,0.01581103,1.9913,10,225243901.0,-0.07,,,2.6764,,,,False,TSTUSDT,2026-04-29 16:15:00 UTC,531
2.5323,24,,,,0.010461,,0.02198643,1.9595,11,224507550.0,-0.33,,,2.7161,,,,False,TSTUSDT,2026-04-29 16:30:00 UTC,483
2.5613,24,,,,0.010481,,0.02471138,1.9638,12,224108863.0,-0.18,,,2.7237,,,,False,TSTUSDT,2026-04-29 16:45:00 UTC,1781
2.4977,23,,,,0.010562,,0.01685287,1.867,13,222204853.0,-0.85,,,2.6999,,,,False,TSTUSDT,2026-04-29 17:00:00 UTC,708
2.4904,22,,,,0.010532,,0.01974934,1.8769,14,222093632.0,-0.05,,,2.7236,,,,False,TSTUSDT,2026-04-29 17:15:00 UTC,536
2.4662,24,,,,0.01053,,0.02212726,1.8637,15,222457487.00000036,0.16,,,2.7344,,,,False,TSTUSDT,2026-04-29 17:30:00 UTC,392
2.4698,23,,,,0.010538,,0.0213513,1.8555,16,222364928.0,-0.04,,,2.7415,,,,False,TSTUSDT,2026-04-29 17:45:00 UTC,514
2.4566,22,,,,0.010417,,0.03321494,1.849,17,222368220.00000033,0.001480449291143532,,,2.7488,,,,False,TSTUSDT,2026-04-29 18:00:00 UTC,996
2.4734,24,,,,0.010391,,0.0362814,1.8653,18,221929958.0,-0.2,,,2.7578,,,,False,TSTUSDT,2026-04-29 18:15:00 UTC,588
2.4638,24,,,,0.010421,,0.04087899,1.8596,19,221639182.0,-0.13,,,2.7512,,,,False,TSTUSDT,2026-04-29 18:30:00 UTC,792
2.4662,24,,,,0.010539,,0.03254578,1.8918,20,221939203.0000003,0.14,,,2.7426,,,,False,TSTUSDT,2026-04-29 18:45:00 UTC,1204
2.4364,24,,,,0.010521,,0.04068054,1.8588,21,221880203.0,-0.03,,,2.723,,,,False,TSTUSDT,2026-04-29 19:00:00 UTC,664
2.459,23,,,,0.010496,,0.0431593,1.8769,22,221106402.0,-0.35,,,2.757,,,,False,TSTUSDT,2026-04-29 19:15:00 UTC,269
2.4495,22,,,,0.010491,,0.04365647,1.8769,23,221048416.0,-0.03,,,2.7549,,,,False,TSTUSDT,2026-04-29 19:30:00 UTC,312
2.453,21,,,,0.010505,,0.04226559,1.8711,24,221079845.00000033,0.01,,,2.7567,,,,False,TSTUSDT,2026-04-29 19:45:00 UTC,348
2.4412,20,,,,0.010526,,0.04018621,1.8637,25,220999700.0,-0.04,,,2.7565,,,,False,TSTUSDT,2026-04-29 20:00:00 UTC,832
2.4602,19,,,,0.010554,,0.03742657,1.8769,26,220349860.0,-0.29,,,2.7946,,,,False,TSTUSDT,2026-04-29 20:15:00 UTC,351
2.4566,18,,,,0.010578,,0.03507279,1.8777,27,220371198.0000002,0.01,,,2.7946,,,,False,TSTUSDT,2026-04-29 20:30:00 UTC,404
