account_lsr,bars_to_future_max,base_detected,base_vacuum,bias,close,confidence,future_max_return,global_lsr,idx,oi,oi_change_pct,oi_state,pattern,position_lsr,quote_validation,readiness,result_tag,suitable,symbol,time,trades
1.4201,23,,,,0.3764,,0.04968119,1.292,0,11951912.0,0.0,,,1.7465,,,,False,JTOUSDT,2026-05-06 00:50:00 UTC,610
1.4278,22,,,,0.3776,,0.04634534,1.2999,1,11949050.0,-0.02,,,1.7454,,,,False,JTOUSDT,2026-05-06 00:55:00 UTC,1009
1.3964,21,,,,0.38,,0.03973684,1.2727,2,11945996.0,-0.03,,,1.7519,,,,False,JTOUSDT,2026-05-06 01:00:00 UTC,1251
1.3946,20,,,,0.3811,,0.03673576,1.2722,3,11937379.0,-0.07,,,1.7509,,,,False,JTOUSDT,2026-05-06 01:05:00 UTC,927
1.3878,19,,,,0.3817,,0.0351061,1.2624,4,11938272.0,0.01,,,1.7569,,,,False,JTOUSDT,2026-05-06 01:10:00 UTC,528
1.3901,18,,,,0.3821,,0.03402251,1.266,5,11939503.0,0.01,,,1.7555,,,,False,JTOUSDT,2026-05-06 01:15:00 UTC,1276
1.3946,17,,,,0.3806,,0.03809774,1.2691,6,11965905.0,0.22,,,1.7612,,,,False,JTOUSDT,2026-05-06 01:20:00 UTC,918
1.3827,16,,,,0.3803,,0.03891664,1.2635,7,11922142.0,-0.37,,,1.7603,,,,False,JTOUSDT,2026-05-06 01:25:00 UTC,420
1.3781,15,,,,0.3817,,0.0351061,1.2578,8,11923101.0,0.01,,,1.7594,,,,False,JTOUSDT,2026-05-06 01:30:00 UTC,877
1.3798,14,,,,0.3814,,0.03592029,1.2645,9,11922987.0,-0.0009561271014981756,,,1.7631,,,,False,JTOUSDT,2026-05-06 01:35:00 UTC,704
1.377,13,,,,0.3823,,0.03348156,1.2748,10,11921183.0,-0.02,,,1.7645,,,,False,JTOUSDT,2026-05-06 01:40:00 UTC,469
1.3776,12,,,,0.3819,,0.03456402,1.2727,11,11899321.0,-0.18,,,1.7615,,,,False,JTOUSDT,2026-05-06 01:45:00 UTC,652
1.3815,11,,,,0.3837,,0.02971071,1.2795,12,11901897.0,0.02,,,1.7673,,,,False,JTOUSDT,2026-05-06 01:50:00 UTC,643
1.3793,10,,,,0.383,,0.03159269,1.2717,13,11925376.0,0.2,,,1.7715,,,,False,JTOUSDT,2026-05-06 01:55:00 UTC,595
1.381,9,,,,0.3838,,0.02944242,1.2805,14,11935657.0,0.09,,,1.762,,,,False,JTOUSDT,2026-05-06 02:00:00 UTC,738
1.405,8,,,,0.3883,,0.01751223,1.2836,15,11925561.0,-0.08,,,1.7659,,,,False,JTOUSDT,2026-05-06 02:05:00 UTC,2456
1.3969,7,,,,0.3905,,0.01177977,1.2523,16,12083087.0,1.32,,,1.7943,,,,False,JTOUSDT,2026-05-06 02:10:00 UTC,1195
1.4067,6,,,,0.3922,,0.00739419,1.2619,17,12115296.0,0.27,,,1.7917,,,,False,JTOUSDT,2026-05-06 02:15:00 UTC,1069
1.4038,5,,,,0.3936,,0.00381098,1.2681,18,12158282.0,0.35,,,1.7953,,,,False,JTOUSDT,2026-05-06 02:20:00 UTC,1768
1.4184,4,,,,0.3926,,0.0063678,1.2873,19,12117413.0,-0.34,,,1.7871,,,,False,JTOUSDT,2026-05-06 02:25:00 UTC,1614
1.4056,3,,,,0.3905,,0.01177977,1.2836,20,12128786.0,0.09,,,1.7886,,,,False,JTOUSDT,2026-05-06 02:30:00 UTC,1776
1.4201,2,,,,0.3926,,0.0063678,1.2983,21,12086883.0,-0.35,,,1.7881,,,,False,JTOUSDT,2026-05-06 02:35:00 UTC,1488
1.4143,1,,,,0.3943,,0.00202891,1.2904,22,12089851.0,0.02,,,1.7905,,,,False,JTOUSDT,2026-05-06 02:40:00 UTC,2124
1.426,0,,,,0.3951,,0.0,1.2989,23,12100559.0,0.09,,,1.7713,,,,False,JTOUSDT,2026-05-06 02:45:00 UTC,1488
1.4366,0,,,,0.3928,,0.0,1.3116,24,12067673.0,-0.27,,,1.7823,,,,False,JTOUSDT,2026-05-06 02:50:00 UTC,1612
1.4444,14,,,,0.3924,,0.00025484,1.3175,25,12041469.0,-0.22,,,1.798,,,,False,JTOUSDT,2026-05-06 02:55:00 UTC,1345
1.4307,13,,,,0.3907,,0.00460712,1.3052,26,12058749.0,0.14,,,1.7829,,,,False,JTOUSDT,2026-05-06 03:00:00 UTC,1716
1.4444,12,,,,0.3892,,0.00847893,1.3359,27,12032168.0,-0.22,,,1.7937,,,,False,JTOUSDT,2026-05-06 03:05:00 UTC,1113
1.4534,11,,,,0.3882,,0.01107676,1.3386,28,12150226.0,0.98,,,1.8277,,,,False,JTOUSDT,2026-05-06 03:10:00 UTC,1281
1.4498,10,True,Failed Base Vacuum Ignition,Distribution Risk,0.3857,Medium,0.01763028,1.3332,29,12148140.0,-0.02,OI صاعد تدريجي,Failed Base Ignition,1.83,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,JTOUSDT,2026-05-06 03:15:00 UTC,1318
1.4777,9,False,Not Applicable: No Base,Neutral / Unclear,0.3893,Medium,0.00821988,1.3425,30,12173355.0,0.21,OI صاعد تدريجي,Mixed Structure,1.8324,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Early-Live Structure,,False,JTOUSDT,2026-05-06 03:20:00 UTC,1257
1.4456,8,False,Not Applicable: No Base,Neutral / Unclear,0.3894,Medium,0.00796097,1.2967,31,12199466.0,0.21,OI صاعد تدريجي,Mixed Structure,1.8338,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Early-Live Structure,,False,JTOUSDT,2026-05-06 03:25:00 UTC,944
1.4588,7,True,Primed Base for Price-led Vacuum Ignition,Post-Pump Crowding Risk,0.3891,Low,0.00873811,1.2941,32,12202037.0,0.02,Delayed Constructive OI Reload From Base,Post-Pump Crowding Risk,1.8307,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,,False,JTOUSDT,2026-05-06 03:30:00 UTC,1149
1.442,6,True,Primed Base for Price-led Vacuum Ignition,Post-Pump Crowding Risk,0.3869,Medium,0.01447402,1.2743,33,12176679.0,-0.21,OI ثابت,Post-Pump Crowding Risk,1.8823,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,,False,JTOUSDT,2026-05-06 03:35:00 UTC,1017
1.454,5,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,0.3875,Medium,0.01290323,1.2899,34,12166238.0,-0.09,OI ثابت,Mixed Structure,1.8827,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,JTOUSDT,2026-05-06 03:40:00 UTC,1023
1.4789,4,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,0.3871,Medium,0.01394988,1.302,35,12162042.0,-0.03,OI ثابت,Mixed Structure,1.892,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,JTOUSDT,2026-05-06 03:45:00 UTC,1239
1.4588,3,True,Failed Base Vacuum Ignition,Distribution Risk,0.3858,Medium,0.01736651,1.2831,36,12257714.0,0.79,OI صاعد انفجاري,Failed Base Ignition,1.9153,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,JTOUSDT,2026-05-06 03:50:00 UTC,980
1.4704,2,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,0.3861,Medium,0.01657602,1.2962,37,12193935.0,-0.52,OI ثابت,Mixed Structure,1.8973,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,JTOUSDT,2026-05-06 03:55:00 UTC,1324
1.4486,1,True,Primed Base for Price-led Vacuum Ignition,Post-Pump Crowding Risk,0.388,Medium,0.01159794,1.2753,38,12281870.0,0.72,OI صاعد انفجاري,Post-Pump Crowding Risk,1.9129,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,,False,JTOUSDT,2026-05-06 04:00:00 UTC,855
1.4361,0,True,Late Base Crowding Risk,Neutral / Unclear,0.3925,Medium,0.0,1.263,39,12243534.0,-0.31,Price-led Base Move Without OI Expansion,Mixed Structure,1.8873,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,JTOUSDT,2026-05-06 04:05:00 UTC,1284
1.4361,1,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,0.3918,Low,0.0007657,1.2696,40,12256670.0,0.11,Delayed Constructive OI Reload From Base,Mixed Structure,1.8779,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Early-Live Structure,,False,JTOUSDT,2026-05-06 04:10:00 UTC,1625
1.4295,0,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,0.3921,Medium,0.0,1.2604,41,12217292.0,-0.32,Price-led Base Move Without OI Expansion,Mixed Structure,1.8685,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,JTOUSDT,2026-05-06 04:15:00 UTC,1355
1.4444,4,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,0.3902,Medium,0.00410046,1.2701,42,12192970.0,-0.2,OI هابط تدريجي,Mixed Structure,1.8654,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,JTOUSDT,2026-05-06 04:20:00 UTC,685
1.451,3,True,Primed Base for Price-led Vacuum Ignition,Bearish Structural Risk,0.3901,Medium,0.00435786,1.2779,43,12192586.0,-0.003149355735313053,OI هابط تدريجي,Liquidity Exit / Decay,1.8568,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Watchlist Only,,False,JTOUSDT,2026-05-06 04:25:00 UTC,661
1.4516,2,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,0.3912,Medium,0.00153374,1.2686,44,12205372.0,0.1,OI ثابت,Mixed Structure,1.8661,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,JTOUSDT,2026-05-06 04:30:00 UTC,812
1.4372,1,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,0.3903,Medium,0.0038432,1.2686,45,12204063.0,-0.01,Delayed Constructive OI Reload From Base,Mixed Structure,1.8605,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Early-Live Structure,,False,JTOUSDT,2026-05-06 04:35:00 UTC,2550
1.4366,0,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,0.3918,Medium,0.0,1.2795,46,12283254.0,0.65,Delayed Constructive OI Reload From Base,Mixed Structure,1.8062,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Early-Live Structure,,False,JTOUSDT,2026-05-06 04:40:00 UTC,846
1.4361,0,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,0.3917,Medium,0.0,1.266,47,12206555.0,-0.62,Delayed Constructive OI Reload From Base,Mixed Structure,1.8706,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Early-Live Structure,,False,JTOUSDT,2026-05-06 04:45:00 UTC,489
1.4343,0,True,Failed Base Vacuum Ignition,Distribution Risk,0.3899,Medium,0.0,1.266,48,12203329.0,-0.03,OI ثابت,Failed Base Ignition,1.8685,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,JTOUSDT,2026-05-06 04:50:00 UTC,787
1.4355,2,True,Failed Base Vacuum Ignition,Distribution Risk,0.3888,Low,0.00154321,1.2722,49,12213719.0,0.09,OI هابط تدريجي,Failed Base Ignition,1.8682,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,JTOUSDT,2026-05-06 04:55:00 UTC,413
1.4384,1,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,0.3891,Medium,0.00077101,1.2712,50,12222425.0,0.07,OI ثابت,Mixed Structure,1.8687,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,JTOUSDT,2026-05-06 05:00:00 UTC,974
1.4343,0,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,0.3894,Medium,0.0,1.2738,51,12223415.0,0.01,OI ثابت,Mixed Structure,1.8641,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,JTOUSDT,2026-05-06 05:05:00 UTC,395
1.4361,0,True,Failed Base Vacuum Ignition,Distribution Risk,0.3876,Medium,0.0,1.2727,52,12222957.0,-0.0037469070632061494,OI ثابت,Failed Base Ignition,1.8664,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,JTOUSDT,2026-05-06 05:10:00 UTC,433
1.4361,0,True,Failed Base Vacuum Ignition,Distribution Risk,0.3864,Medium,0.0,1.2784,53,12217141.0,-0.05,OI ثابت,Failed Base Ignition,1.8675,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,JTOUSDT,2026-05-06 05:15:00 UTC,484
1.4462,23,True,Failed Base Vacuum Ignition,Distribution Risk,0.3862,Medium,0.00051787,1.28,54,12211389.0,-0.05,OI ثابت,Failed Base Ignition,1.8684,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,JTOUSDT,2026-05-06 05:20:00 UTC,372
1.4474,22,True,Failed Base Vacuum Ignition,Distribution Risk,0.3852,Medium,0.00311526,1.2873,55,12206564.0,-0.04,OI ثابت,Failed Base Ignition,1.8686,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,JTOUSDT,2026-05-06 05:25:00 UTC,518
1.4498,21,True,Failed Base Vacuum Ignition,Distribution Risk,0.3845,Medium,0.00494148,1.2931,56,12200378.0,-0.05,OI ثابت,Failed Base Ignition,1.8668,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,JTOUSDT,2026-05-06 05:30:00 UTC,892
1.4752,20,True,Failed Base Vacuum Ignition,Distribution Risk,0.3819,Medium,0.01178319,1.3063,57,12101348.0,-0.81,OI Flush,Failed Base Ignition,1.8551,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,JTOUSDT,2026-05-06 05:35:00 UTC,901
