account_lsr,bars_to_future_max,base_detected,base_vacuum,bias,close,confidence,future_max_return,global_lsr,idx,oi,oi_change_pct,oi_state,pattern,position_lsr,quote_validation,readiness,result_tag,suitable,symbol,time,trades
0.8625,15,,,,0.14338,,0.04338122,0.8744,0,87494461.0,0.0,,,0.9974,,,,False,UBUSDT,2026-05-17 09:00:00 UTC,20194
0.8477,14,,,,0.14397,,0.03910537,0.8577,1,88160680.0,0.76,,,0.9906,,,,False,UBUSDT,2026-05-17 09:15:00 UTC,36164
0.8443,13,,,,0.14548,,0.02832004,0.8776,2,87533394.0,-0.71,,,0.9812,,,,False,UBUSDT,2026-05-17 09:30:00 UTC,29610
0.8369,12,,,,0.14522,,0.03016113,0.8776,3,87655152.0,0.14,,,0.9774,,,,False,UBUSDT,2026-05-17 09:45:00 UTC,36558
0.8433,11,,,,0.14779,,0.01224711,0.8815,4,87873630.0,0.25,,,0.9829,,,,False,UBUSDT,2026-05-17 10:00:00 UTC,31762
0.8382,10,,,,0.14506,,0.03129739,0.885,5,87966936.0,0.11,,,0.9725,,,,False,UBUSDT,2026-05-17 10:15:00 UTC,31365
0.8447,24,,,,0.14443,,0.05532092,0.8943,6,87966840.0,-0.00010913191292692065,,,0.9777,,,,False,UBUSDT,2026-05-17 10:30:00 UTC,21755
0.8488,24,,,,0.14378,,0.09333704,0.8904,7,87695744.0,-0.31,,,0.9839,,,,False,UBUSDT,2026-05-17 10:45:00 UTC,20825
0.846,23,,,,0.14445,,0.08826584,0.8811,8,87857294.0,0.18,,,0.9834,,,,False,UBUSDT,2026-05-17 11:00:00 UTC,21319
0.8386,22,,,,0.14282,,0.10068618,0.8779,9,88014445.0,0.18,,,0.9791,,,,False,UBUSDT,2026-05-17 11:15:00 UTC,16423
0.846,21,,,,0.14419,,0.09022817,0.8854,10,88403632.0,0.44,,,0.9761,,,,False,UBUSDT,2026-05-17 11:30:00 UTC,14295
0.8413,20,,,,0.14424,,0.08985025,0.8811,11,88230518.0,-0.2,,,0.9777,,,,False,UBUSDT,2026-05-17 11:45:00 UTC,12482
0.8413,19,,,,0.1448,,0.08563536,0.8882,12,88225735.0,-0.01,,,0.973,,,,False,UBUSDT,2026-05-17 12:00:00 UTC,22004
0.8491,18,,,,0.14569,,0.07900336,0.8975,13,87956110.0,-0.31,,,0.9711,,,,False,UBUSDT,2026-05-17 12:15:00 UTC,19505
0.8525,24,,,,0.14714,,0.08590458,0.9044,14,88604729.0,0.74,,,0.9874,,,,False,UBUSDT,2026-05-17 12:30:00 UTC,22816
0.843,24,,,,0.1496,,0.09197861,0.9135,15,87829840.0,-0.87,,,0.9545,,,,False,UBUSDT,2026-05-17 12:45:00 UTC,30571
0.8389,23,,,,0.14544,,0.12321232,0.9223,16,87237807.0,-0.67,,,0.9439,,,EVENT_START,False,UBUSDT,2026-05-17 13:00:00 UTC,27222
0.8474,22,,,,0.14359,,0.13768368,0.9216,17,87262055.0,0.03,,,0.9513,,,,False,UBUSDT,2026-05-17 13:15:00 UTC,29204
0.8577,21,,,,0.14237,,0.14743275,0.9283,18,88167992.0,1.04,,,0.9742,,,,False,UBUSDT,2026-05-17 13:30:00 UTC,22989
0.8622,24,,,,0.1434,,0.15097629,0.9172,19,88400571.0,0.26,,,0.9709,,,,False,UBUSDT,2026-05-17 13:45:00 UTC,18571
0.8619,24,,,,0.14285,,0.17388869,0.9253,20,88886571.0,0.55,,,0.975,,,,False,UBUSDT,2026-05-17 14:00:00 UTC,24997
0.8591,24,,,,0.14437,,0.19013645,0.9242,21,88527264.0,-0.4,,,0.9741,,,,False,UBUSDT,2026-05-17 14:15:00 UTC,21123
0.8543,24,,,,0.14169,,0.21335309,0.922,22,88307190.0,-0.25,,,0.9752,,,,False,UBUSDT,2026-05-17 14:30:00 UTC,23295
0.865,23,,,,0.14399,,0.1939718,0.9253,23,87779723.0,-0.6,,,0.9863,,,,False,UBUSDT,2026-05-17 14:45:00 UTC,20133
0.8529,22,,,,0.14632,,0.17495899,0.9062,24,87512863.0,-0.3,,,0.9806,,,,False,UBUSDT,2026-05-17 15:00:00 UTC,23670
0.8536,21,,,,0.14491,,0.18639155,0.9113,25,86408085.0,-1.26,,,0.981,,,,False,UBUSDT,2026-05-17 15:15:00 UTC,26652
0.8563,20,,,,0.14582,,0.17898779,0.9142,26,85759998.0,-0.75,,,0.9691,,,,False,UBUSDT,2026-05-17 15:30:00 UTC,20078
0.8587,19,,,,0.14844,,0.15817839,0.915,27,85682782.0,-0.09,,,0.9656,,,,False,UBUSDT,2026-05-17 15:45:00 UTC,20873
0.8515,18,,,,0.14772,,0.16382345,0.9084,28,85633798.0,-0.06,,,0.9656,,,,False,UBUSDT,2026-05-17 16:00:00 UTC,37811
0.8484,17,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,0.14729,Medium,0.16722113,0.8983,29,84713655.0,-1.07,OI Flush,Mixed Structure,0.9568,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,UBUSDT,2026-05-17 16:15:00 UTC,25304
0.8426,16,True,Accepted Base Vacuum Ignition / Quote Volume Missing: Confidence cap Medium,Bullish but Event-driven,0.15242,Medium,0.12793597,0.8939,30,84879769.0,0.2,OI هابط تدريجي,Short Squeeze / Live Ignition,0.9671,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Accepted Structure,FIRST_SIGNAL,True,UBUSDT,2026-05-17 16:30:00 UTC,40956
0.8379,24,False,Not Applicable: No Base,Bullish but Event-driven,0.1572,Medium,0.09491094,0.8943,31,83758539.0,-1.32,OI Flush,Short Squeeze / Live Ignition,0.9541,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Accepted Structure,,True,UBUSDT,2026-05-17 16:45:00 UTC,38094
0.8282,23,False,Not Applicable: No Base,Neutral / Unclear,0.15252,Medium,0.12850774,0.9077,32,83303887.0,-0.54,OI هابط تدريجي,Mixed Structure,0.948,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,,False,UBUSDT,2026-05-17 17:00:00 UTC,47076
0.8447,22,False,Not Applicable: No Base,Neutral / Unclear,0.1513,Medium,0.1376074,0.9153,33,83021131.0,-0.34,OI Deleveraging After Pump,Mixed Structure,0.9658,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,,False,UBUSDT,2026-05-17 17:15:00 UTC,34857
0.844,21,False,Not Applicable: No Base,Neutral / Unclear,0.15043,Medium,0.14418666,0.9183,34,82836186.0,-0.22,OI Deleveraging After Pump,Mixed Structure,0.988,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,,False,UBUSDT,2026-05-17 17:30:00 UTC,24291
0.8443,20,False,Not Applicable: Reset branch has priority,Neutral / Unclear,0.15121,Medium,0.1382845,0.9298,35,82418248.0,-0.5,OI Deleveraging After Pump,Mixed Structure,0.9894,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,,False,UBUSDT,2026-05-17 17:45:00 UTC,19854
0.8467,19,False,Not Applicable: Reset branch has priority,Neutral / Unclear,0.15672,Medium,0.09826442,0.9249,36,82291613.0,-0.15,OI هابط تدريجي,Mixed Structure,0.995,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,,False,UBUSDT,2026-05-17 18:00:00 UTC,31093
0.8322,18,False,Not Applicable: Reset branch has priority,Neutral / Unclear,0.15703,Medium,0.09609629,0.9223,37,82246616.0,-0.05,OI هابط تدريجي,Mixed Structure,1.0008,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,,False,UBUSDT,2026-05-17 18:15:00 UTC,37723
0.8386,17,False,Not Applicable: Reset branch has priority,Early Bullish Structure,0.15978,Medium,0.07723119,0.9312,38,82609304.0,0.44,Delayed Constructive OI Reload After Reset,Absorption After Flush,0.9973,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Confirmed Trigger,,True,UBUSDT,2026-05-17 18:30:00 UTC,40356
0.8443,16,False,Not Applicable: Reset branch has priority,Neutral / Unclear,0.16336,Medium,0.0536239,0.9501,39,82518705.0,-0.11,Delayed Constructive OI Reload After Reset,Mixed Structure,0.9915,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,EVENT_PEAK,False,UBUSDT,2026-05-17 18:45:00 UTC,62107
0.8549,15,False,Not Applicable: Reset branch has priority,Neutral / Unclear,0.16037,Medium,0.07326807,0.967,40,82088757.0,-0.52,OI ثابت,Mixed Structure,0.9922,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,,False,UBUSDT,2026-05-17 19:00:00 UTC,42775
0.8758,14,False,Not Applicable: Reset branch has priority,Neutral / Unclear,0.16213,Medium,0.06161722,0.9873,41,81311826.0,-0.95,OI هابط تدريجي,Mixed Structure,0.9993,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,,False,UBUSDT,2026-05-17 19:15:00 UTC,34325
0.8734,13,False,Not Applicable: Reset branch has priority,Neutral / Unclear,0.16292,Medium,0.05646943,0.9826,42,80861201.0,-0.55,OI Deleveraging After Pump,Mixed Structure,0.9978,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,,False,UBUSDT,2026-05-17 19:30:00 UTC,34117
0.8667,12,True,Not Applicable: Reset branch has priority,Neutral / Unclear,0.16505,Medium,0.0428355,0.9841,43,80731142.0,-0.16,Price-led Base Move Without OI Expansion,Mixed Structure,0.9852,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Accepted Structure,,False,UBUSDT,2026-05-17 19:45:00 UTC,23047
0.8594,11,True,Not Applicable: Reset branch has priority,Bullish but Event-driven,0.16769,Medium,0.02641779,0.9798,44,80894694.0,0.2,OI هابط تدريجي,Short Squeeze / Live Ignition,0.9866,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Accepted Structure,,True,UBUSDT,2026-05-17 20:00:00 UTC,40590
0.856,10,True,Not Applicable: Reset branch has priority,Neutral / Unclear,0.17182,Medium,0.00174601,0.9893,45,80744221.0,-0.19,Price-led Base Move Without OI Expansion,Mixed Structure,0.9753,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Accepted Structure,,False,UBUSDT,2026-05-17 20:15:00 UTC,35408
0.8477,9,False,Not Applicable: Reset branch has priority,Early Bullish Structure,0.17192,Medium,0.00116333,0.9822,46,81042849.0,0.37,Delayed Constructive OI Reload After Reset,Absorption After Flush,0.9785,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Confirmed Trigger,,True,UBUSDT,2026-05-17 20:30:00 UTC,36007
0.8556,8,False,Not Applicable: Reset branch has priority,Neutral / Unclear,0.16897,Medium,0.01864236,0.998,47,80877860.0,-0.2,OI ثابت,Mixed Structure,0.9902,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,,False,UBUSDT,2026-05-17 20:45:00 UTC,42799
0.8594,7,True,Not Applicable: Reset branch has priority,Distribution Risk,0.16599,Medium,0.03692994,0.9833,48,80059506.0,-1.01,OI Deleveraging After Pump,Failed Base Ignition,1.0048,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,UBUSDT,2026-05-17 21:00:00 UTC,41229
0.8608,6,True,Not Applicable: Reset branch has priority,Distribution Risk,0.16366,Medium,0.05169253,0.9932,49,79729494.0,-0.41,OI Deleveraging After Pump,Failed Base Ignition,0.9934,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,UBUSDT,2026-05-17 21:15:00 UTC,18319
0.8653,5,True,Not Applicable: Reset branch has priority,Distribution Risk,0.16664,Medium,0.03288526,1.0036,50,80243950.0,0.65,OI Deleveraging After Pump,Failed Base Ignition,0.994,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,UBUSDT,2026-05-17 21:30:00 UTC,30370
0.8447,4,True,Not Applicable: Reset branch has priority,Distribution Risk,0.16805,Medium,0.02421898,0.981,51,79472968.0,-0.96,OI هابط تدريجي,Failed Base Vacuum Ignition,0.9817,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,UBUSDT,2026-05-17 21:45:00 UTC,32600
0.846,3,True,Not Applicable: Reset branch has priority,Distribution Risk,0.16624,Low,0.03537055,0.9877,52,79805567.0,0.42,Delayed Constructive OI Reload After Reset,Failed Base Ignition,0.9863,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,UBUSDT,2026-05-17 22:00:00 UTC,39465
0.8481,2,True,Not Applicable: Reset branch has priority,Neutral / Unclear,0.16789,Medium,0.02519507,0.9716,53,79427459.0,-0.47,Price-led Base Move Without OI Expansion,Mixed Structure,0.9754,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,UBUSDT,2026-05-17 22:15:00 UTC,27955
0.8262,1,True,Not Applicable: Reset branch has priority,Early Bullish Structure,0.1689,Medium,0.01906454,0.9612,54,79754851.0,0.41,Delayed Constructive OI Reload After Reset,Absorption After Flush,0.9774,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Early-Live Structure,,True,UBUSDT,2026-05-17 22:30:00 UTC,21080
0.8255,0,True,Not Applicable: Reset branch has priority,Neutral / Unclear,0.17212,Medium,0.0,0.9566,55,79603571.0,-0.19,Price-led Base Move Without OI Expansion,Mixed Structure,0.9738,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,UBUSDT,2026-05-17 22:45:00 UTC,30291
0.8222,0,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,0.17142,Low,0.0,0.9585,56,79954488.0,0.44,Delayed Constructive OI Reload From Base,Mixed Structure,0.9765,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Early-Live Structure,,False,UBUSDT,2026-05-17 23:00:00 UTC,26142
0.8355,0,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,0.17032,Low,0.0,0.9732,57,80016470.0,0.08,Delayed Constructive OI Reload From Base,Mixed Structure,0.9751,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Early-Live Structure,,False,UBUSDT,2026-05-17 23:15:00 UTC,36226
0.8359,0,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,0.1695,Medium,0.0,0.979,58,79883039.0,-0.17,OI ثابت,Mixed Structure,0.9706,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,UBUSDT,2026-05-17 23:30:00 UTC,46403
0.8288,7,True,Failed Base Vacuum Ignition,Distribution Risk,0.16106,Medium,0.01949584,0.9693,59,79781103.0,-0.13,OI ثابت,Failed Base Ignition,0.9494,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,UBUSDT,2026-05-17 23:45:00 UTC,67880
0.8409,6,True,Failed Base Vacuum Ignition,Distribution Risk,0.15603,Medium,0.05236173,0.9689,60,78912732.0,-1.09,OI Flush,Failed Base Ignition,0.9876,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,UBUSDT,2026-05-18 00:00:00 UTC,47608
0.8185,5,True,Not Applicable: Reset branch has priority,Neutral / Unclear,0.16181,Medium,0.01477041,0.9283,61,79309300.0,0.5,OI هابط تدريجي,Mixed Structure,0.9797,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,UBUSDT,2026-05-18 00:15:00 UTC,53361
0.8155,4,True,Not Applicable: Reset branch has priority,Early Bullish Structure,0.15768,Low,0.04134957,0.9294,62,79921460.0,0.77,OI ثابت,Absorption After Flush,0.9675,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,UBUSDT,2026-05-18 00:30:00 UTC,42452
0.8195,3,True,Not Applicable: Reset branch has priority,Early Bullish Structure,0.16252,Medium,0.01033719,0.9301,63,79970104.0,0.06,Delayed Constructive OI Reload After Reset,Absorption After Flush,0.9723,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Early-Live Structure,,True,UBUSDT,2026-05-18 00:45:00 UTC,37667
0.8005,2,True,Not Applicable: Reset branch has priority,Early Bullish Structure,0.1633,Medium,0.00551133,0.9198,64,80685903.0,0.9,Delayed Constructive OI Reload After Reset,Absorption After Flush,0.9568,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Early-Live Structure,,True,UBUSDT,2026-05-18 01:00:00 UTC,38320
0.8165,1,True,Not Applicable: Reset branch has priority,Early Bullish Structure,0.1623,Medium,0.01170672,0.926,65,81407795.0,0.89,Delayed Constructive OI Reload After Reset,Absorption After Flush,0.957,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Early-Live Structure,,True,UBUSDT,2026-05-18 01:15:00 UTC,29593
0.8165,0,True,Not Applicable: Reset branch has priority,Early Bullish Structure,0.1642,Medium,0.0,0.9227,66,81723376.0,0.39,Delayed Constructive OI Reload After Reset,Absorption After Flush,0.9652,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Early-Live Structure,,True,UBUSDT,2026-05-18 01:30:00 UTC,26583
0.8238,0,True,Not Applicable: Reset branch has priority,Early Bullish Structure,0.16025,Low,0.0,0.9357,67,81888990.0,0.2,OI صاعد تدريجي,Fresh Long Build-up,0.9696,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,UBUSDT,2026-05-18 01:45:00 UTC,21626
0.8389,0,True,Not Applicable: Reset branch has priority,Neutral / Unclear,0.15848,Medium,0.0,0.9463,68,81644615.0,-0.3,OI ثابت,Mixed Structure,0.9745,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,UBUSDT,2026-05-18 02:00:00 UTC,23327
0.8471,0,True,Not Applicable: Reset branch has priority,Distribution Risk,0.15712,Medium,0.0,0.9455,69,80947780.0,-0.85,OI هابط تدريجي,Failed Base Ignition,0.9774,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,UBUSDT,2026-05-18 02:15:00 UTC,19526
0.8392,7,True,Failed Base Vacuum Ignition,Distribution Risk,0.153,Medium,0.02522876,0.9399,70,80434938.0,-0.63,OI هابط تدريجي,Failed Base Ignition,0.9769,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,UBUSDT,2026-05-18 02:30:00 UTC,27553
0.8406,6,True,Primed Base for Price-led Vacuum Ignition,Bearish Structural Risk,0.1543,Medium,0.01659106,0.9354,71,80245426.0,-0.24,OI هابط تدريجي,Liquidity Exit / Decay,0.9778,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Watchlist Only,,False,UBUSDT,2026-05-18 02:45:00 UTC,25975
0.8376,5,True,Primed Base for Price-led Vacuum Ignition,Bearish Structural Risk,0.15308,Low,0.02469297,0.929,72,80305144.0,0.07,OI هابط تدريجي,Liquidity Exit / Decay,0.9772,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Watchlist Only,,False,UBUSDT,2026-05-18 03:00:00 UTC,24735
0.8332,4,True,Failed Base Vacuum Ignition,Distribution Risk,0.15272,Medium,0.02710843,0.9238,73,80145843.0,-0.2,OI هابط تدريجي,Failed Base Ignition,0.9702,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,UBUSDT,2026-05-18 03:15:00 UTC,17600
0.8202,3,True,Failed Base Vacuum Ignition,Distribution Risk,0.15206,Medium,0.03156649,0.8997,74,79928378.0,-0.27,OI هابط تدريجي,Failed Base Ignition,0.9705,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,UBUSDT,2026-05-18 03:30:00 UTC,17738
0.8252,2,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,0.15439,Medium,0.01599845,0.9091,75,80087804.0,0.2,OI ثابت,Mixed Structure,0.9668,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,UBUSDT,2026-05-18 03:45:00 UTC,18617
0.8106,1,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,0.15239,Low,0.02933263,0.8979,76,80425567.0,0.42,OI ثابت,Mixed Structure,0.9626,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,UBUSDT,2026-05-18 04:00:00 UTC,17511
0.8149,0,True,Weak Base Drift / لا ترفعها أعلى من Watchlist,Neutral / Unclear,0.15686,Medium,0.0,0.8986,77,80342125.0,-0.1,Delayed Constructive OI Reload From Base,Mixed Structure,0.964,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Early-Live Structure,,False,UBUSDT,2026-05-18 04:15:00 UTC,23124
0.8165,24,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,0.154,Medium,0.00993506,0.9139,78,80135667.0,-0.26,OI ثابت,Mixed Structure,0.9558,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,UBUSDT,2026-05-18 04:30:00 UTC,26838
0.8198,23,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,0.15441,Medium,0.00725342,0.9142,79,80008144.0,-0.16,Price-led Base Move Without OI Expansion,Mixed Structure,0.9589,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,UBUSDT,2026-05-18 04:45:00 UTC,19658
0.8225,24,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,0.1529,Medium,0.01948986,0.9146,80,79802605.0,-0.26,OI هابط تدريجي,Mixed Structure,0.9618,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,UBUSDT,2026-05-18 05:00:00 UTC,21284
0.8182,23,True,Failed Base Vacuum Ignition,Distribution Risk,0.15113,Medium,0.03142989,0.9113,81,79547374.0,-0.32,OI هابط تدريجي,Failed Base Ignition,0.9617,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,UBUSDT,2026-05-18 05:15:00 UTC,20735
0.8332,24,True,Failed Base Vacuum Ignition,Distribution Risk,0.15056,Medium,0.03785866,0.9205,82,78968567.0,-0.73,OI هابط تدريجي,Failed Base Ignition,0.9633,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,UBUSDT,2026-05-18 05:30:00 UTC,19047
0.8325,24,True,Failed Base Vacuum Ignition,Distribution Risk,0.14823,Medium,0.06381974,0.9033,83,78828878.0,-0.18,OI هابط تدريجي,Failed Base Ignition,0.9678,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,UBUSDT,2026-05-18 05:45:00 UTC,18173
0.8292,24,True,Failed Base Vacuum Ignition,Distribution Risk,0.14315,Low,0.11065316,0.8979,84,78876165.0,0.06,OI هابط تدريجي,Failed Base Ignition,0.9647,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,UBUSDT,2026-05-18 06:00:00 UTC,44485
0.8608,24,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,0.15173,Medium,0.05766823,0.922,85,79283302.0,0.52,Delayed Constructive OI Reload From Base,Mixed Structure,0.9704,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Early-Live Structure,,False,UBUSDT,2026-05-18 06:15:00 UTC,44052
