adverse_before_future_max,bars_to_future_max,bias,close,confidence,future_max_return,future_max_time,is_signal,ls_divergence,oi_read,pattern,price_acceptance,quote_volume_validation,readiness,time,trades_read,trigger_status
-0.01246497,24,,0.27116,,0.03558784,2026-06-02 19:30:00 UTC,False,,,,,,,2026-06-02 13:30:00 UTC,,
-0.00987243,23,,0.27045,,0.03830653,2026-06-02 19:30:00 UTC,False,,,,,,,2026-06-02 13:45:00 UTC,,
-0.0095062,22,,0.27035,,0.03869059,2026-06-02 19:30:00 UTC,False,,,,,,,2026-06-02 14:00:00 UTC,,
-0.01282902,21,,0.27126,,0.03520608,2026-06-02 19:30:00 UTC,False,,,,,,,2026-06-02 14:15:00 UTC,,
-0.01100606,20,,0.27076,,0.03711774,2026-06-02 19:30:00 UTC,False,,,,,,,2026-06-02 14:30:00 UTC,,
-0.01231927,19,,0.27112,,0.03574063,2026-06-02 19:30:00 UTC,False,,,,,,,2026-06-02 14:45:00 UTC,,
-0.01351999,18,,0.27145,,0.03448149,2026-06-02 19:30:00 UTC,False,,,,,,,2026-06-02 15:00:00 UTC,,
0.0,17,,0.26778,,0.04865935,2026-06-02 19:30:00 UTC,False,,,,,,,2026-06-02 15:15:00 UTC,,
0.0,16,,0.2693,,0.04274044,2026-06-02 19:30:00 UTC,False,,,,,,,2026-06-02 15:30:00 UTC,,
-0.00716622,15,,0.27211,,0.03197236,2026-06-02 19:30:00 UTC,False,,,,,,,2026-06-02 15:45:00 UTC,,
-0.00949588,14,,0.27275,,0.02955087,2026-06-02 19:30:00 UTC,False,,,,,,,2026-06-02 16:00:00 UTC,,
-0.00665515,13,,0.27197,,0.03250358,2026-06-02 19:30:00 UTC,False,,,,,,,2026-06-02 16:15:00 UTC,,
-0.00147842,12,,0.27056,,0.03788439,2026-06-02 19:30:00 UTC,False,,,,,,,2026-06-02 16:30:00 UTC,,
0.0,11,,0.27016,,0.03942108,2026-06-02 19:30:00 UTC,False,,,,,,,2026-06-02 16:45:00 UTC,,
