adverse_before_future_max,bars_to_future_max,bias,close,confidence,future_max_return,future_max_time,is_signal,ls_divergence,oi_read,pattern,price_acceptance,quote_volume_validation,readiness,time,trades_read,trigger_status
-0.01200092,23,,0.04333,,0.03231018,2026-05-07 02:00:00 UTC,False,,,,,,,2026-05-07 00:05:00 UTC,,
-0.01563578,22,,0.04349,,0.0285123,2026-05-07 02:00:00 UTC,False,,,,,,,2026-05-07 00:10:00 UTC,,
-0.01518288,21,,0.04347,,0.02898551,2026-05-07 02:00:00 UTC,False,,,,,,,2026-05-07 00:15:00 UTC,,
-0.0131397,24,,0.04338,,0.03250346,2026-05-07 02:20:00 UTC,False,,,,,,,2026-05-07 00:20:00 UTC,,
-0.00925712,23,,0.04321,,0.03656561,2026-05-07 02:20:00 UTC,False,,,,,,,2026-05-07 00:25:00 UTC,,
-0.00465008,24,,0.04301,,0.04696582,2026-05-07 02:30:00 UTC,False,,,,,,,2026-05-07 00:30:00 UTC,,
-0.00695894,24,,0.04311,,0.05010438,2026-05-07 02:35:00 UTC,False,,,,,,,2026-05-07 00:35:00 UTC,,
-0.00418702,24,,0.04299,,0.05396604,2026-05-07 02:40:00 UTC,False,,,,,,,2026-05-07 00:40:00 UTC,,
-0.00557491,24,,0.04305,,0.0583043,2026-05-07 02:45:00 UTC,False,,,,,,,2026-05-07 00:45:00 UTC,,
-0.00856878,24,,0.04318,,0.05974988,2026-05-07 02:50:00 UTC,False,,,,,,,2026-05-07 00:50:00 UTC,,
-0.01359447,24,,0.0434,,0.06013825,2026-05-07 02:55:00 UTC,False,,,,,,,2026-05-07 00:55:00 UTC,,
-0.00186524,23,,0.04289,,0.07274423,2026-05-07 02:55:00 UTC,False,,,,,,,2026-05-07 01:00:00 UTC,,
-0.00163246,24,,0.04288,,0.07695896,2026-05-07 03:05:00 UTC,False,,,,,,,2026-05-07 01:05:00 UTC,,
-0.00603668,24,,0.04307,,0.08567448,2026-05-07 03:10:00 UTC,False,,,,,,,2026-05-07 01:10:00 UTC,,
0.0,23,,0.04281,,0.09226816,2026-05-07 03:10:00 UTC,False,,,,,,,2026-05-07 01:15:00 UTC,,
0.0,22,,0.04301,,0.08718903,2026-05-07 03:10:00 UTC,False,,,,,,,2026-05-07 01:20:00 UTC,,
0.0,21,,0.04351,,0.07469547,2026-05-07 03:10:00 UTC,False,,,,,,,2026-05-07 01:25:00 UTC,,
0.0,20,,0.04365,,0.07124857,2026-05-07 03:10:00 UTC,False,,,,,,,2026-05-07 01:30:00 UTC,,
0.0,19,,0.04389,,0.06539075,2026-05-07 03:10:00 UTC,False,,,,,,,2026-05-07 01:35:00 UTC,,
0.0,18,,0.04412,,0.05983681,2026-05-07 03:10:00 UTC,False,,,,,,,2026-05-07 01:40:00 UTC,,
-0.0049416,17,,0.04452,,0.05031447,2026-05-07 03:10:00 UTC,False,,,,,,,2026-05-07 01:45:00 UTC,,
0.0,16,,0.0443,,0.05553047,2026-05-07 03:10:00 UTC,False,,,,,,,2026-05-07 01:50:00 UTC,,
-0.00269966,15,,0.04445,,0.0519685,2026-05-07 03:10:00 UTC,False,,,,,,,2026-05-07 01:55:00 UTC,,
-0.00894254,14,,0.04473,,0.04538341,2026-05-07 03:10:00 UTC,False,,,,,,,2026-05-07 02:00:00 UTC,,
-0.00672194,24,,0.04463,,0.05175891,2026-05-07 04:05:00 UTC,False,,,,,,,2026-05-07 02:05:00 UTC,,
0.0,24,,0.04433,,0.06744868,2026-05-07 04:10:00 UTC,False,,,,,,,2026-05-07 02:10:00 UTC,,
0.0,23,,0.04465,,0.05979843,2026-05-07 04:10:00 UTC,False,,,,,,,2026-05-07 02:15:00 UTC,,
-0.00178611,22,,0.04479,,0.05648582,2026-05-07 04:10:00 UTC,False,,,,,,,2026-05-07 02:20:00 UTC,,
0.0,21,,0.04471,,0.0583762,2026-05-07 04:10:00 UTC,False,,,,,,,2026-05-07 02:25:00 UTC,,
0.0,20,Bullish but Late,0.04503,Medium,0.05085499,2026-05-07 04:10:00 UTC,False,Top Position Retention with Non-Chasing Accounts,OI صاعد تدريجي,Late Long Crowding,Accepted Breakout,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,2026-05-07 02:30:00 UTC,Trades صحية تدريجية,Confirmed Trigger
-0.00265076,19,Bullish but Late,0.04527,Medium,0.04528385,2026-05-07 04:10:00 UTC,False,Top Position Retention with Non-Chasing Accounts,OI صاعد تدريجي,Late Long Crowding,Accepted Breakout,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,2026-05-07 02:35:00 UTC,Trades صحية تدريجية,Confirmed Trigger
-0.00353123,18,Bullish but Late,0.04531,Medium,0.04436107,2026-05-07 04:10:00 UTC,False,Broad Risk-Off / Position Reduction,OI صاعد انفجاري,Late Long Crowding,Accepted Breakout,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,2026-05-07 02:40:00 UTC,Trades صحية تدريجية,Confirmed Trigger
-0.00899912,24,Bullish but Late,0.04556,Medium,0.04433714,2026-05-07 04:45:00 UTC,False,Broad Risk-Off / Position Reduction,OI صاعد تدريجي,Late Long Crowding,Accepted Breakout,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,2026-05-07 02:45:00 UTC,Trades إشعال,Confirmed Trigger
-0.01333042,24,Distribution Risk,0.04576,Medium,0.05550699,2026-05-07 04:50:00 UTC,False,Broad Risk-Off / Position Reduction,OI صاعد انفجاري,Bull Trap Risk,Accepted Breakout,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-05-07 02:50:00 UTC,Trades صحية تدريجية,Confirmed Trigger
-0.01869159,23,Distribution Risk,0.04601,Medium,0.04977179,2026-05-07 04:50:00 UTC,False,Retail Long / Smart Exit,OI صاعد تدريجي,Bull Trap Risk,Accepted Breakout,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-05-07 02:55:00 UTC,Trades صحية تدريجية,Confirmed Trigger
-0.01311475,22,Bullish but Late,0.04575,Low,0.0557377,2026-05-07 04:50:00 UTC,False,Broad Risk-Off / Position Reduction,OI صاعد انفجاري,Late Long Crowding,No Clear Acceptance,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,2026-05-07 03:00:00 UTC,Trades صحية تدريجية,Trigger Candidate
-0.02230403,21,Bullish but Late,0.04618,Medium,0.04590732,2026-05-07 04:50:00 UTC,False,Top Position Retention with Non-Chasing Accounts,OI صاعد تدريجي,Late Long Crowding,Accepted Breakout,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,2026-05-07 03:05:00 UTC,Trades إشعال,Confirmed Trigger
