adverse_before_future_max,bars_to_future_max,bias,close,confidence,future_max_return,future_max_time,is_signal,ls_divergence,oi_read,pattern,price_acceptance,quote_volume_validation,readiness,time,trades_read,trigger_status
0.0,,,0.0,,0.0,,False,,,,,,,2026-05-17 09:55:00 UTC,,
-0.00593401,6,,0.04213,,0.0258723,2026-05-17 10:30:00 UTC,False,,,,,,,2026-05-17 10:00:00 UTC,,
-0.00191022,24,,0.04188,,0.06661891,2026-05-17 12:05:00 UTC,False,,,,,,,2026-05-17 10:05:00 UTC,,
-0.00214848,24,,0.04189,,0.07018381,2026-05-17 12:10:00 UTC,False,,,,,,,2026-05-17 10:10:00 UTC,,
-0.0033381,24,,0.04194,,0.0977587,2026-05-17 12:15:00 UTC,False,,,,,,,2026-05-17 10:15:00 UTC,,
-0.0052356,23,,0.04202,,0.09566873,2026-05-17 12:15:00 UTC,False,,,,,,,2026-05-17 10:20:00 UTC,,
-0.00971334,22,,0.04221,,0.09073679,2026-05-17 12:15:00 UTC,False,,,,,,,2026-05-17 10:25:00 UTC,,
-0.03285516,24,,0.04322,,0.08190652,2026-05-17 12:30:00 UTC,False,,,,,,,2026-05-17 10:30:00 UTC,,
-0.02495918,23,,0.04287,,0.09073944,2026-05-17 12:30:00 UTC,False,,,,,,,2026-05-17 10:35:00 UTC,,
-0.00428776,22,,0.04198,,0.11386374,2026-05-17 12:30:00 UTC,False,,,,,,,2026-05-17 10:40:00 UTC,,
-0.0201594,21,,0.04266,,0.09610877,2026-05-17 12:30:00 UTC,False,,,,,,,2026-05-17 10:45:00 UTC,,
-0.01508011,20,,0.04244,,0.10179076,2026-05-17 12:30:00 UTC,False,,,,,,,2026-05-17 10:50:00 UTC,,
-0.01577584,19,,0.04247,,0.10101248,2026-05-17 12:30:00 UTC,False,,,,,,,2026-05-17 10:55:00 UTC,,
-0.011119,18,,0.04227,,0.10622191,2026-05-17 12:30:00 UTC,False,,,,,,,2026-05-17 11:00:00 UTC,,
-0.00830368,17,,0.04215,,0.10937129,2026-05-17 12:30:00 UTC,False,,,,,,,2026-05-17 11:05:00 UTC,,
0.0,16,,0.0418,,0.11866029,2026-05-17 12:30:00 UTC,False,,,,,,,2026-05-17 11:10:00 UTC,,
0.0,24,,0.0421,,0.14014252,2026-05-17 13:15:00 UTC,False,,,,,,,2026-05-17 11:15:00 UTC,,
-0.00258641,24,,0.04253,,0.14624971,2026-05-17 13:20:00 UTC,False,,,,,,,2026-05-17 11:20:00 UTC,,
-0.00469263,24,,0.04262,,0.1928672,2026-05-17 13:25:00 UTC,False,,,,,,,2026-05-17 11:25:00 UTC,,
0.0,24,,0.04242,,0.24139557,2026-05-17 13:30:00 UTC,False,,,,,,,2026-05-17 11:30:00 UTC,,
0.0,23,,0.04253,,0.23818481,2026-05-17 13:30:00 UTC,False,,,,,,,2026-05-17 11:35:00 UTC,,
0.0,24,,0.04269,,0.24478801,2026-05-17 13:40:00 UTC,False,,,,,,,2026-05-17 11:40:00 UTC,,
0.0,23,,0.04283,,0.24071912,2026-05-17 13:40:00 UTC,False,,,,,,,2026-05-17 11:45:00 UTC,,
0.0,22,,0.04309,,0.23323277,2026-05-17 13:40:00 UTC,False,,,,,,,2026-05-17 11:50:00 UTC,,
0.0,21,,0.04313,,0.23208903,2026-05-17 13:40:00 UTC,False,,,,,,,2026-05-17 11:55:00 UTC,,
0.0,24,,0.04322,,0.27602962,2026-05-17 14:00:00 UTC,False,,,,,,,2026-05-17 12:00:00 UTC,,
0.0,24,,0.04467,,0.25162301,2026-05-17 14:05:00 UTC,False,,,,,,,2026-05-17 12:05:00 UTC,,
