acceptance_to_expansion_minutes,campaign_index,checkpoint_15_hypothesis,checkpoint_30_hypothesis,checkpoint_45_hypothesis,checkpoint_60_hypothesis,coverage_complete_720,ignition_to_acceptance_minutes,matched_control_count_720,outcome,outcome_group,path_class_720,rejected_states,rejected_transition_count,terminal_return_pct_720,valid_ignition
,1,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,True,,12,failed_ignition,FAILURE,TWO_SIDED_VOLATILITY_OUTLIER,,0,19.238095238095234,True
,2,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,True,,12,failed_ignition,FAILURE,TWO_SIDED_VOLATILITY_OUTLIER,,0,-2.9379360998898374,True
90,3,TLM_POST_IGNITION_FUEL_RETENTION,TLM_POST_IGNITION_FUEL_RETENTION,NEW_UNIDENTIFIED_STRUCTURE,NEW_UNIDENTIFIED_STRUCTURE,False,15,12,accepted_expansion,SUCCESS,INCOMPLETE_FORWARD_COVERAGE,,0,-12.664473684210542,True
,4,NEW_UNIDENTIFIED_STRUCTURE,NEW_UNIDENTIFIED_STRUCTURE,NEW_UNIDENTIFIED_STRUCTURE,NEW_UNIDENTIFIED_STRUCTURE,,,,failed_ignition,FAILURE,,ACCEPTED_IGNITION|CONFIRMED_BUILD|CONTINUATION_RELOAD|EARLY_BUILD|EXPANSION|FAILURE|IGNITION_CANDIDATE,7,,False
15,5,NEW_UNIDENTIFIED_STRUCTURE,NEW_UNIDENTIFIED_STRUCTURE,NEW_UNIDENTIFIED_STRUCTURE,TLM_SHORT_COVERING_ONLY,True,15,12,accepted_expansion,SUCCESS,POSITIVE_PATH_OUTLIER,,0,0.9638554216867545,True
,6,NEW_UNIDENTIFIED_STRUCTURE,NEW_UNIDENTIFIED_STRUCTURE,NEW_UNIDENTIFIED_STRUCTURE,NEW_UNIDENTIFIED_STRUCTURE,True,,12,failed_ignition,FAILURE,NEGATIVE_PATH_OUTLIER,ACCEPTED_IGNITION|COOLING|FAILURE,3,-7.1797817346352595,True
,7,NEW_UNIDENTIFIED_STRUCTURE,NEW_UNIDENTIFIED_STRUCTURE,NEW_UNIDENTIFIED_STRUCTURE,NEW_UNIDENTIFIED_STRUCTURE,True,,12,failed_ignition,FAILURE,NEGATIVE_PATH_OUTLIER,ACCEPTED_IGNITION|CONTINUATION_RELOAD|EXPANSION|FAILURE,4,-5.487804878048785,True
,8,TLM_SHORT_COVERING_ONLY,TLM_TRANSIENT_EXECUTION_SPIKE,NEW_UNIDENTIFIED_STRUCTURE,NEW_UNIDENTIFIED_STRUCTURE,True,,12,failed_ignition,FAILURE,MATCHED_CONTROL_LIKE,,0,-2.230720203951564,True
15,9,TLM_POST_IGNITION_FUEL_RETENTION,TLM_SHORT_COVERING_ONLY,TLM_SHORT_COVERING_ONLY,TLM_SHORT_COVERING_ONLY,True,15,12,accepted_expansion,SUCCESS,MATCHED_CONTROL_LIKE,,0,1.8132975151108122,True
,10,TLM_POST_IGNITION_FUEL_RETENTION,TLM_POST_IGNITION_FUEL_RETENTION,TLM_POST_IGNITION_FUEL_RETENTION,TLM_POST_IGNITION_FUEL_RETENTION,True,15,12,accepted_without_expansion,PARTIAL,NEGATIVE_PATH_OUTLIER,,0,-6.233933161953731,True
,11,TLM_TRANSIENT_EXECUTION_SPIKE,TLM_TRANSIENT_EXECUTION_SPIKE,NEW_UNIDENTIFIED_STRUCTURE,NEW_UNIDENTIFIED_STRUCTURE,True,,12,failed_ignition,FAILURE,MATCHED_CONTROL_LIKE,ACCEPTED_IGNITION|COOLING|FAILURE,3,2.1196063588190706,True
,12,NEW_UNIDENTIFIED_STRUCTURE,NEW_UNIDENTIFIED_STRUCTURE,TLM_SHORT_COVERING_ONLY,TLM_SHORT_COVERING_ONLY,True,,12,failed_ignition,FAILURE,POSITIVE_PATH_OUTLIER,,0,27.528517110266158,True
15,13,TLM_POST_IGNITION_FUEL_RETENTION,TLM_POST_IGNITION_FUEL_RETENTION,TLM_POST_IGNITION_FUEL_RETENTION,TLM_POST_IGNITION_FUEL_RETENTION,True,15,12,accepted_expansion,SUCCESS,POSITIVE_PATH_OUTLIER,,0,48.13432835820895,True
