adverse_before_future_max,bars_to_future_max,bias,close,confidence,future_max_return,future_max_time,is_signal,ls_divergence,oi_read,pattern,price_acceptance,quote_volume_validation,readiness,time,trades_read,trigger_status
-0.00107643,24,,0.5574,,0.05758881,2026-05-20 13:00:00 UTC,False,,,,,,,2026-05-20 07:00:00 UTC,,
-0.01781619,24,,0.5669,,0.04956783,2026-05-20 13:15:00 UTC,False,,,,,,,2026-05-20 07:15:00 UTC,,
-0.01259088,24,,0.5639,,0.05993971,2026-05-20 13:30:00 UTC,False,,,,,,,2026-05-20 07:30:00 UTC,,
-0.00304387,23,,0.5585,,0.070188,2026-05-20 13:30:00 UTC,False,,,,,,,2026-05-20 07:45:00 UTC,,
-0.00518135,22,,0.5597,,0.06789351,2026-05-20 13:30:00 UTC,False,,,,,,,2026-05-20 08:00:00 UTC,,
0.0,21,,0.5568,,0.07345546,2026-05-20 13:30:00 UTC,False,,,,,,,2026-05-20 08:15:00 UTC,,
-0.00481026,20,,0.5613,,0.06484946,2026-05-20 13:30:00 UTC,False,,,,,,,2026-05-20 08:30:00 UTC,,
0.0,19,,0.5586,,0.06999642,2026-05-20 13:30:00 UTC,False,,,,,,,2026-05-20 08:45:00 UTC,,
-0.02178388,18,,0.583,,0.02521441,2026-05-20 13:30:00 UTC,False,,,,,,,2026-05-20 09:00:00 UTC,,
-0.0133218,17,,0.578,,0.03408304,2026-05-20 13:30:00 UTC,False,,,,,,,2026-05-20 09:15:00 UTC,,
-0.02128025,16,,0.5827,,0.02574223,2026-05-20 13:30:00 UTC,False,,,,,,,2026-05-20 09:30:00 UTC,,
-0.03224164,15,,0.5893,,0.0142542,2026-05-20 13:30:00 UTC,False,,,,,,,2026-05-20 09:45:00 UTC,,
-0.022957,14,,0.5837,,0.02398492,2026-05-20 13:30:00 UTC,False,,,,,,,2026-05-20 10:00:00 UTC,,
-0.01161179,13,,0.577,,0.03587522,2026-05-20 13:30:00 UTC,False,,,,,,,2026-05-20 10:15:00 UTC,,
-0.01672414,12,,0.58,,0.03051724,2026-05-20 13:30:00 UTC,False,,,,,,,2026-05-20 10:30:00 UTC,,
-0.00869112,11,,0.5753,,0.03893621,2026-05-20 13:30:00 UTC,False,,,,,,,2026-05-20 10:45:00 UTC,,
-0.00644599,10,,0.574,,0.0412892,2026-05-20 13:30:00 UTC,False,,,,,,,2026-05-20 11:00:00 UTC,,
0.0,9,,0.5703,,0.04804489,2026-05-20 13:30:00 UTC,False,,,,,,,2026-05-20 11:15:00 UTC,,
0.0,8,,0.5764,,0.0369535,2026-05-20 13:30:00 UTC,False,,,,,,,2026-05-20 11:30:00 UTC,,
-0.00102564,7,,0.585,,0.0217094,2026-05-20 13:30:00 UTC,False,,,,,,,2026-05-20 11:45:00 UTC,,
0.0,24,,0.5844,,0.03559206,2026-05-20 18:00:00 UTC,False,,,,,,,2026-05-20 12:00:00 UTC,,
0.0,24,,0.5848,,0.03642271,2026-05-20 18:15:00 UTC,False,,,,,,,2026-05-20 12:15:00 UTC,,
-0.0059453,24,,0.5887,,0.03720061,2026-05-20 18:30:00 UTC,False,,,,,,,2026-05-20 12:30:00 UTC,,
